OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,NationalHighwaySystem,Length,LRSDate,GlobalID,SHAPESTLength
6576,620003870i,0,0.111000001430511,1,0.111000001430511,2021/12/31 00:00:00+00,{2D0B3DEE-1DEC-4F99-A6C2-3EDAF09B6157},584.600579815911
6577,820000460i,2.91700005531311,3.40400004386902,1,0.486999988555908,2021/12/31 00:00:00+00,{2D9B46EF-59FD-4116-8E64-DC483C60B6B6},2570.96447375633
6578,420007050i,0,0.921999990940094,1,0.921999990940094,2021/12/31 00:00:00+00,{2DC8986C-1A0B-4319-9E94-83832E78E7EA},4866.11617258361
6579,760000560i,4.62400007247925,4.92600011825562,6,0.301999986171722,2021/12/31 00:00:00+00,{2DDE47ED-2730-4A62-BCA7-BDAD078BF37E},1594.03560318688
6580,620002000i,3.02800011634827,4.01999998092651,1,0.991999983787537,2021/12/31 00:00:00+00,{2DEE3008-28D1-49EA-9077-CE29259E96A1},5238.21800749686
6581,820000700i,1.72899997234344,2.02999997138977,1,0.300999999046326,2021/12/31 00:00:00+00,{2E3DCA5A-30F8-4569-A62B-B120EA349951},1587.86315961422
6582,420004590i,9.48499965667725,9.60900020599365,1,0.123999997973442,2021/12/31 00:00:00+00,{2EF2A616-34E8-419C-A773-6B8EAF1BAEA4},654.372957788926
6583,760000580i,0.256000012159348,1.23699998855591,1,0.981000006198883,2021/12/31 00:00:00+00,{2F3BA386-E1E5-43CE-B0F3-3B58A9332570},5179.35244572635
6584,460000001i,2.81699991226196,3.25799989700317,1,0.441000014543533,2021/12/31 00:00:00+00,{2FD184ED-AC97-4DFC-9682-506F78B80E2B},2329.80919505414
6585,500000660i,0,0.160999998450279,1,0.160999998450279,2021/12/31 00:00:00+00,{2FEB0CB4-278D-4235-BF8C-5250DCE4A1DD},849.903606430471
6586,760002090i,0.0579999983310699,0.116999998688698,6,0.0590000003576279,2021/12/31 00:00:00+00,{300A6493-A816-401F-9065-FEF35A3A470D},309.794613005631
6587,420002600i,4.09899997711182,5.81899976730347,1,1.72000002861023,2021/12/31 00:00:00+00,{30CF12E3-46F6-4064-A80D-23061723EC85},9080.81314448088
6588,720001310i,0.503000020980835,0.620000004768372,1,0.116999998688698,2021/12/31 00:00:00+00,{311CF968-2679-40D2-B454-C66AD18F82CE},618.177244993395
6589,620003980i,1.875,1.99699997901917,1,0.122000001370907,2021/12/31 00:00:00+00,{313EBCC5-1E39-44AD-A9F3-460BC0A3ADDA},647.131594718119
6590,620003600i,3.49300003051758,3.7409999370575,1,0.247999995946884,2021/12/31 00:00:00+00,{316186E4-511A-4EC9-83E9-DC5E01287048},1308.7886354704
6591,420003800i,1.1139999628067,1.25300002098083,1,0.138999998569489,2021/12/31 00:00:00+00,{31DAD94D-D4F1-4921-9122-464E01D7AD11},734.102670281973
6592,620002490i,4.77299976348877,5.17700004577637,1,0.404000014066696,2021/12/31 00:00:00+00,{32055C3D-9046-4CEC-9A0C-B14FA5639234},2133.02784266353
6593,860001610i,1.73699998855591,2.73300004005432,1,0.995999991893768,2021/12/31 00:00:00+00,{32128567-92D2-4CCA-9A52-1613E7D6B002},5258.78050735123
6594,620003800i,0.486999988555908,0.763999998569489,1,0.27700001001358,2021/12/31 00:00:00+00,{3388BE46-E857-4A8F-AB0B-2E024C7C5ABB},1462.79423218886
6595,620000940i,0.527999997138977,0.728999972343445,1,0.20100000500679,2021/12/31 00:00:00+00,{33FD1C2B-E494-422C-BA47-6372C912370A},1056.53106458287
6596,620003800i,1.03600001335144,1.10599994659424,1,0.0700000002980232,2021/12/31 00:00:00+00,{344D798A-85F7-45B0-B8F8-648212DA5B3A},370.288668631128
6597,260000550i,2.34400010108948,3.09100008010864,2,0.746999979019165,2021/12/31 00:00:00+00,{35A1DED2-CF7E-4239-BD52-98DEFA3D78AB},3943.90184422496
6598,200001810i,1.182000041008,1.42200005054474,1,0.239999994635582,2021/12/31 00:00:00+00,{35BB38BF-0A72-41D4-A4B9-024C9E803A46},1266.89869841188
6599,420004700i,0.402999997138977,0.518999993801117,6,0.11599999666214,2021/12/31 00:00:00+00,{35C86B6F-7120-4C1F-BF05-8E1C8F8A8ABB},612.056792530199
6600,800000800i,0.693000018596649,2.52099990844727,1,1.82799994945526,2021/12/31 00:00:00+00,{35CF2CAB-DDBC-48E5-A3BC-2A80215D8C83},9652.02378978112
6601,420002070i,2.50099992752075,3.19700002670288,1,0.695999979972839,2021/12/31 00:00:00+00,{35D96EFD-51FA-45ED-B77B-15D5511B3632},3673.77380210996
6602,860001660i,0.736000001430511,1.46599996089935,1,0.730000019073486,2021/12/31 00:00:00+00,{367B6AE3-DE51-470A-81F6-D6B6933A7601},3853.89334630825
6603,620003160i,4.03599977493286,4.23099994659424,1,0.194999992847443,2021/12/31 00:00:00+00,{369EA0E2-A12C-4F4E-A86B-630AE103781A},1029.61711889293
6604,420006040i,1.00499999523163,2.26099991798401,1,1.25600004196167,2021/12/31 00:00:00+00,{36BFF3FF-D0D9-4647-8125-82BC8C50F69B},6633.2502155391
6605,420004690i,0,0.804000020027161,5,0.804000020027161,2021/12/31 00:00:00+00,{36D84B7A-E9D0-401B-B3E4-CA05E7296BF4},4245.77917767742
6606,620003300i,1.51800000667572,2.01799988746643,1,0.5,2021/12/31 00:00:00+00,{36E9956B-32B4-475D-A0F8-B97270E00A90},2641.04626961049
6607,620000670i,3.8199999332428,3.92000007629395,1,0.100000001490116,2021/12/31 00:00:00+00,{371ADC4C-ACDC-4AAB-8751-0D2706F1F968},527.97426542475
6608,620003780i,0.460999995470047,0.676999986171722,5,0.216000005602837,2021/12/31 00:00:00+00,{3757A5FB-6833-426A-8200-278322444F31},1140.74993063774
6609,620003690i,0,1.25199997425079,1,1.25199997425079,2021/12/31 00:00:00+00,{3784ADF9-5DB5-4D46-87B1-C7DD918659EC},6610.41221473412
6610,620001050i,4.18200016021729,4.54300022125244,1,0.361000001430511,2021/12/31 00:00:00+00,{37CEC502-E8FB-4B56-A0C8-28748F3110B5},1905.9935620885
6611,720001080i,0,0.573000013828278,1,0.573000013828278,2021/12/31 00:00:00+00,{37EA9102-C441-4B38-8A16-AFDA450520E1},3026.3022103908
6612,420003470i,0.275000005960464,0.774999976158142,1,0.5,2021/12/31 00:00:00+00,{38C1FA0A-0169-43FF-ABFD-45E27B53EEF0},2639.93921400094
6613,860001560i,3.0220000743866,4.0789999961853,1,1.057000041008,2021/12/31 00:00:00+00,{38C8BB03-CA85-4BFF-BE2E-81F391761316},5579.85280751804
6614,420001430i,1.26900005340576,1.44700002670288,1,0.178000003099442,2021/12/31 00:00:00+00,{38CFD593-00C7-4592-91D5-08D10E6C14D2},942.846374048555
6615,760000580i,3.50699996948242,4.80000019073486,1,1.29299998283386,2021/12/31 00:00:00+00,{38EB0464-2237-4F8B-B3CA-65DAA119BE23},6824.5618134179
