OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,DividedIndicator,SnapshotDate,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,LRSDate,SHAPESTLength
3056,097FI06145d,0,0.509999990463257,N,2022/02/05 00:00:00+00,0,A,0.509999990463257,A,2021/12/31 00:00:00+00,2710.18600409455
3057,097FI01267i,0,0.75,N,2022/02/05 00:00:00+00,0,A,0.75,A,2021/12/31 00:00:00+00,3961.25893091419
3058,099P103022i,0,0.419999986886978,N,2022/02/05 00:00:00+00,0,A,0.419999986886978,A,2021/12/31 00:00:00+00,2268.18068029733
3059,097FI01267d,0,0.75,N,2022/02/05 00:00:00+00,0,A,0.75,A,2021/12/31 00:00:00+00,3961.25893091419
3060,097FD07300i,0,0.610000014305115,N,2022/02/05 00:00:00+00,0,A,0.610000014305115,A,2021/12/31 00:00:00+00,3213.03868673201
3061,169d,19.2800006866455,19.7099990844727,Y,2022/02/05 00:00:00+00,19.2800006866455,A,19.7099990844727,A,2021/12/31 00:00:00+00,2232.39600438522
3062,097FD07127i,0.0599999986588955,0.810000002384186,N,2022/02/05 00:00:00+00,0.0599999986588955,A,0.810000002384186,A,2021/12/31 00:00:00+00,3991.43724545662
3063,097FD07127d,0,0.810000002384186,N,2022/02/05 00:00:00+00,0,A,0.810000002384186,A,2021/12/31 00:00:00+00,4296.17854694408
3064,097FD07015i,0,0.439999997615814,N,2022/02/05 00:00:00+00,0,A,0.439999997615814,A,2021/12/31 00:00:00+00,2366.79699770778
3065,097FD07015d,0,0.439999997615814,N,2022/02/05 00:00:00+00,0,A,0.439999997615814,A,2021/12/31 00:00:00+00,2366.79699770778
3066,097FD06965i,0,1.10000002384186,N,2022/02/05 00:00:00+00,0,A,1.10000002384186,A,2021/12/31 00:00:00+00,5734.78459452661
3067,097i,0,61.0499992370605,N,2022/02/05 00:00:00+00,0,B,61.439998626709,A,2021/12/31 00:00:00+00,322247.757932282
3068,097FD06642i,0,0.100000001490116,N,2022/02/05 00:00:00+00,0,A,0.100000001490116,A,2021/12/31 00:00:00+00,546.168316014053
3069,205R203118i,0,0.100000001490116,N,2022/02/05 00:00:00+00,0,A,0.100000001490116,A,2021/12/31 00:00:00+00,610.740009858436
3070,182Q101462i,0,0.319999992847443,N,2022/02/05 00:00:00+00,0,A,0.319999992847443,A,2021/12/31 00:00:00+00,1752.03505166845
3071,097FD06613i,0,0.200000002980232,N,2022/02/05 00:00:00+00,0,A,0.200000002980232,A,2021/12/31 00:00:00+00,1035.12942719429
3072,097FD06523i,0,0.100000001490116,N,2022/02/05 00:00:00+00,0,A,0.100000001490116,A,2021/12/31 00:00:00+00,539.318283211417
3073,097FD06274i,0,0.540000021457672,N,2022/02/05 00:00:00+00,0,A,0.540000021457672,A,2021/12/31 00:00:00+00,2834.70809240657
