OBJECTID,RouteIdentifier,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,InventoryDirection,LRSDate,GlobalID,SHAPESTLength
12151,405P201406,405,P2,01406,0,A,0.439999997615814,A,0,0.439999997615814,I,2021/12/31 00:00:00+00,{9473E88F-529F-41E5-AA1A-D51D23F79446},2294.44839660624
12152,405S102015,405,S1,02015,0,A,0.509999990463257,A,0,0.509999990463257,I,2021/12/31 00:00:00+00,{9491F4EA-C049-40AB-AD0F-C1D5BF7DB5B2},2678.99496094445
12153,182Q100567,182,Q1,00567,0,A,0.930000007152557,A,0,0.930000007152557,I,2021/12/31 00:00:00+00,{94CA117D-2DFD-4B4F-959C-581C5FA32D31},4896.51699260335
12154,512P100785,512,P1,00785,0,A,0.529999971389771,A,0,0.529999971389771,I,2021/12/31 00:00:00+00,{94DF60D6-8880-47C1-9A37-6C5CB8011EE3},2763.72941631926
12155,090P128903,090,P1,28903,0,A,0.829999983310699,A,0,0.829999983310699,I,2021/12/31 00:00:00+00,{95000121-083E-45A7-A0D5-B997DF10F346},4436.40908681258
12156,512P100555,512,P1,00555,0,A,0.310000002384186,A,0,0.310000002384186,I,2021/12/31 00:00:00+00,{9605C135-581D-4ED9-9685-FDF7C78A755B},1676.480379442
12157,090S111498,090,S1,11498,0,A,0.479999989271164,A,0,0.479999989271164,I,2021/12/31 00:00:00+00,{9616807D-DC97-4C28-90F4-FA32B7241F0F},2605.96982502964
12158,090S102683,090,S1,02683,0,A,0.560000002384186,A,0,0.560000002384186,I,2021/12/31 00:00:00+00,{9648D894-75DF-401E-83CA-8FF3F5D175E7},3208.14072606948
12159,405R500104,405,R5,00104,0,A,0.28999999165535,A,0,0.28999999165535,I,2021/12/31 00:00:00+00,{971A9238-1EED-4356-A2BB-F8DFC7A66B93},1594.53561570568
12160,303Q100681,303,Q1,00681,0,A,0.28999999165535,A,0,0.28999999165535,I,2021/12/31 00:00:00+00,{978EF108-8761-4E52-99AF-00F8AB2C3168},1507.66459485948
12161,705P100049,705,P1,00049,0,A,0.209999993443489,A,0,0.209999993443489,I,2021/12/31 00:00:00+00,{98068D24-B1EE-4299-876A-5B8DBCB187C6},1039.42457567359
