Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Electricity Powered,01 ADAMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Electricity Powered,02 ASOTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25
Electricity Powered,03 BENTON,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,377,0,0,0,0,0,0,0,0,0,9,0,397
Electricity Powered,04 CHELAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,0,11,1,0,224,0,0,0,0,0,0,0,0,0,5,1,253
Electricity Powered,05 CLALLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,4,1,3,0,0,241,0,0,0,0,0,0,0,0,0,3,1,257
Electricity Powered,06 CLARK,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,1,21,1,14,0,1,2272,0,0,0,0,0,0,0,0,0,10,1,2339
Electricity Powered,07 COLUMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Electricity Powered,08 COWLITZ,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,1,1,0,152,0,0,0,0,0,0,0,0,0,4,0,167
Electricity Powered,09 DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,1,0,3,0,0,74,0,0,0,0,0,0,0,0,0,0,0,89
Electricity Powered,10 FERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
Electricity Powered,11 FRANKLIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,108,0,0,0,0,0,0,0,0,0,3,0,120
Electricity Powered,12 GARFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity Powered,13 GRANT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,1,0,10,1,1,54,0,0,0,0,0,0,0,0,0,0,0,79
Electricity Powered,14 GRAYS HARBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,15,0,0,108,0,0,0,0,0,0,0,0,0,2,1,129
