Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Electricity Powered,01 ADAMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,10
Electricity Powered,02 ASOTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25
Electricity Powered,03 BENTON,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,3,0,4,0,2,560,0,0,0,0,0,0,0,0,0,7,0,588
Electricity Powered,04 CHELAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,5,0,9,0,2,295,0,0,0,0,0,0,0,0,0,3,0,321
Electricity Powered,05 CLALLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,303,0,0,0,0,0,0,0,0,0,2,0,311
Electricity Powered,06 CLARK,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,2,10,0,2,21,1,9,0,0,3111,0,0,0,0,0,0,0,0,0,7,0,3172
Electricity Powered,07 COLUMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
Electricity Powered,08 COWLITZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,1,0,220,0,0,0,0,0,0,0,0,0,3,0,234
Electricity Powered,09 DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,4,0,0,89,0,0,0,0,0,0,0,0,0,0,0,98
Electricity Powered,10 FERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,10
Electricity Powered,11 FRANKLIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,2,0,0,158,0,0,0,0,0,0,0,0,0,0,0,172
Electricity Powered,12 GARFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricity Powered,13 GRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,11,1,3,80,0,0,0,0,0,0,0,0,0,0,1,105
Electricity Powered,14 GRAYS HARBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,148,0,0,0,0,0,0,0,0,0,1,0,159
Electricity Powered,15 ISLAND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,554,0,0,0,0,0,0,0,0,0,5,1,571
Electricity Powered,16 JEFFERSON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,2,0,0,281,0,0,0,0,0,0,0,0,0,0,1,291
Electricity Powered,17 KING,2,0,0,0,0,89,0,0,0,0,0,0,0,4,55,0,0,0,24,37,0,25,142,2,92,15,20,42307,0,0,0,0,0,0,0,0,0,92,7,42913
Electricity Powered,18 KITSAP,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,2,22,0,6,1,2,2239,0,0,0,0,0,0,0,0,0,6,3,2299
Electricity Powered,19 KITTITAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,127,0,0,0,0,0,0,0,0,0,2,1,141
Electricity Powered,20 KLICKITAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,45
Electricity Powered,21 LEWIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,4,0,1,0,0,125,0,0,0,0,0,0,0,0,0,3,1,142
Electricity Powered,22 LINCOLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
Electricity Powered,23 MASON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,4,0,0,167,0,0,0,0,0,0,0,0,0,2,1,179
Electricity Powered,24 OKANOGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,60
Electricity Powered,25 PACIFIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,1,0,44
Electricity Powered,26 PEND OREILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
Electricity Powered,27 PIERCE,0,0,0,0,0,12,0,0,0,1,0,0,0,1,9,0,0,0,3,35,0,8,42,3,5,3,13,3747,0,0,0,0,0,0,0,0,0,46,0,3928
Electricity Powered,28 SAN JUAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,4,5,0,15,0,0,418,0,0,0,0,0,2,0,0,0,1,4,457
Electricity Powered,29 SKAGIT,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,4,6,1,11,0,0,767,0,0,0,0,0,0,0,0,0,4,4,807
Electricity Powered,30 SKAMANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,56
