,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1101,46.0098155,-122.8458198,30,46.0036486,-122.843998,0.4355,I5
1,832,47.0445273,-122.8450987,108,47.0445824,-122.8432981,0.085,I5
2,461,47.2382577,-122.4111982,135,47.2390248,-122.4109751,0.0541,I5
3,1783,45.9118804,-122.7454008,21,45.9176067,-122.7499613,0.4528,I5
4,0,48.3937603,-122.3298055,225,48.395399,-122.3304605,0.1173,I5
5,1033,45.9083024,-122.7448597,21,45.9025012,-122.7405472,0.4518,I5
6,488,46.710777,-122.9742676,82,46.7176134,-122.9761198,0.481,I5
7,1663,45.9066473,-122.7417659,21,45.9025012,-122.7405472,0.2927,I5
8,429,46.4189462,-122.8899741,59,46.4211316,-122.8911946,0.162,I5
9,320,46.9996041,-122.9134175,102,46.9966991,-122.9139765,0.2027,I5
10,1932,45.9845776,-122.8272141,27,45.9836913,-122.8283873,0.0833,I5
11,1755,47.4851317,-122.2702473,156,47.4861061,-122.2677827,0.1335,I5
12,858,47.9677294,-122.1965963,192,47.9684224,-122.1978473,0.0752,I5
13,1853,45.9115737,-122.7472796,21,45.9176067,-122.7499613,0.4368,I5
14,1763,45.7197645,-122.6561886,36,45.7218825,-122.6547463,0.1622,I5
15,1787,48.4667514,-122.342824,230,48.4729386,-122.3423176,0.4286,I5
16,1747,45.6755588,-122.6633026,4,45.6715671,-122.6645971,0.2831,I5
17,926,47.4169994,-122.28806,151,47.4162706,-122.2896227,0.0888,I5
18,1690,46.4182457,-122.8920534,59,46.4156845,-122.8903778,0.1943,I5
19,324,48.5066581,-122.337175,232,48.5034482,-122.3367715,0.2228,I5
20,917,46.7931432,-123.0110601,88,46.7983597,-123.0095032,0.3683,I5
21,962,47.484727,-122.2709634,156,47.4861061,-122.2677827,0.1766,I5
22,2095,48.1472532,-122.1890676,206,48.1422869,-122.1869123,0.3576,I5
23,1031,48.4345808,-122.3423243,227,48.431311,-122.3410553,0.2336,I5
24,321,48.7891756,-122.5141913,258,48.7867012,-122.5108612,0.2287,I5
25,1265,47.882229,-122.2307859,186,47.8847509,-122.2304597,0.1751,I5
26,880,48.5070322,-122.3372571,232,48.5034482,-122.3367715,0.2489,I5
27,1520,48.7892672,-122.5143274,258,48.7867012,-122.5108612,0.2376,I5
28,729,47.0482401,-122.822874,109,47.046987,-122.8221884,0.0925,I5
29,19,48.7567706,-122.4602115,254,48.7566236,-122.4617918,0.0728,I5
30,45,47.0938386,-122.6257477,119,47.0911975,-122.6305634,0.2912,I5
31,1229,46.1444177,-122.8959687,39,46.140454,-122.8976073,0.2852,I5
32,1652,46.2849005,-122.9010053,49,46.2807315,-122.9002465,0.2906,I5
33,177,48.7561325,-122.4630397,254,48.7566236,-122.4617918,0.0663,I5
34,985,45.7148121,-122.6518681,7 A,45.7126385,-122.6528771,0.1581,I5
35,496,47.2424329,-122.3483514,137,47.2411216,-122.351387,0.169,I5
36,536,48.1114944,-122.1862485,202,48.1038893,-122.1850534,0.5289,I5
37,1217,47.6760544,-122.3190192,nan,47.6769065,-122.320662,0.0966,I5
38,624,46.7116268,-122.9738649,82,46.7176134,-122.9761198,0.4277,I5
39,176,47.2392201,-122.3578584,137,47.2405897,-122.3632091,0.2685,I5
40,1779,47.4824618,-122.2692206,156,47.4861061,-122.2677827,0.2609,I5
41,46,47.1385049,-122.5255984,124,47.1394716,-122.5206519,0.2422,I5
42,220,46.7283604,-122.9783507,82,46.7335902,-122.9755046,0.3861,I5
43,1023,45.7173087,-122.6528096,7 B,45.7173002,-122.6545494,0.084,I5
44,415,48.2396539,-122.2437396,212,48.2421077,-122.2446144,0.1744,I5
45,462,48.7142928,-122.4759749,250,48.7114461,-122.4754002,0.1986,I5
46,1048,46.792296,-123.0110402,88,46.7983597,-123.0095032,0.4257,I5
47,943,48.2375644,-122.2418167,212,48.2352709,-122.2374372,0.2567,I5
48,384,46.60601,-122.9090421,72,46.6089591,-122.9100378,0.2094,I5
49,1255,48.4363355,-122.3426268,227,48.4400618,-122.3411683,0.2663,I5
50,395,46.9541623,-122.9353285,99,46.9570058,-122.9363869,0.2029,I5
51,455,48.6201067,-122.3542699,240,48.6174704,-122.354568,0.1829,I5
52,1873,47.2391243,-122.3565496,137,47.2411216,-122.351387,0.279,I5
53,1760,48.2685843,-122.2721787,215,48.2708471,-122.2728044,0.1592,I5
54,466,46.606714,-122.9055421,72,46.6089591,-122.9100378,0.2641,I5
55,953,47.1492754,-122.5038904,126,47.1498355,-122.4998494,0.194,I5
56,1277,47.1501838,-122.5023028,126,47.1498355,-122.4998494,0.1179,I5
57,1905,47.2079846,-122.463427,nan,47.20953,-122.462382,0.1176,I5
58,520,48.0751257,-122.1829033,200,48.079947,-122.1849707,0.3469,I5
59,343,46.604111,-122.9079167,72,46.6021303,-122.9044944,0.2127,I5
60,1655,46.2848974,-122.9006415,49,46.2807315,-122.9002465,0.2888,I5
61,1030,48.0516262,-122.1826522,199,48.0487267,-122.1836594,0.2059,I5
62,629,47.0615311,-122.7655122,111,47.0643741,-122.7590318,0.3632,I5
63,1593,45.6675804,-122.66448,4,45.6715671,-122.6645971,0.2758,I5
64,932,48.3986181,-122.3285996,225,48.395399,-122.3304605,0.2385,I5
65,1929,45.8528016,-122.700926,16,45.8557292,-122.7047193,0.2728,I5
66,517,47.9820464,-122.1890993,nan,47.9833226,-122.1853609,0.1943,I5
67,167,46.607128,-122.9056643,72,46.6089591,-122.9100378,0.2434,I5
68,431,46.6055938,-122.9090045,72,46.6089591,-122.9100378,0.2379,I5
69,817,47.1614528,-122.4838952,nan,47.1607735,-122.4816961,0.1136,I5
70,1786,48.419628,-122.3361756,226,48.4208727,-122.3349356,0.1032,I5
71,1314,48.4001932,-122.3322556,225,48.4037241,-122.330937,0.2516,I5
72,66,48.0525208,-122.186268,199,48.0557297,-122.1847277,0.2331,I5
73,1284,47.4849093,-122.2715897,156,47.4861061,-122.2677827,0.1963,I5
74,834,47.0476336,-122.8339994,108,47.046106,-122.8322178,0.135,I5
75,941,47.8816625,-122.2306663,186,47.8847509,-122.2304597,0.2138,I5
76,1100,45.9272998,-122.7536923,22,45.9236452,-122.7534494,0.2531,I5
77,562,46.6757136,-122.9779355,79,46.6723811,-122.978491,0.232,I5
78,441,47.0415807,-122.8458624,107,47.0434328,-122.8467917,0.1354,I5
79,833,47.0477589,-122.8331307,108,47.046106,-122.8322178,0.1222,I5
80,1543,48.7332716,-122.4702395,252,48.7355355,-122.4675768,0.1982,I5
81,404,48.2101347,-122.2137654,210,48.2063282,-122.2143483,0.2647,I5
82,453,48.6857142,-122.3984113,246,48.6876969,-122.3988031,0.1383,I5
83,1088,47.8816348,-122.2369056,186,47.8790697,-122.2369578,0.1774,I5
84,116,46.6471459,-122.9568898,76,46.6433797,-122.9537383,0.3004,I5
85,1301,47.2428958,-122.3825947,136,47.2409478,-122.3796371,0.1935,I5
86,194,46.6463653,-122.9552459,76,46.6433797,-122.9537383,0.2186,I5
87,1115,47.7088482,-122.3317952,nan,47.7084293,-122.3303797,0.072,I5
88,578,47.1813111,-122.4626623,128,47.1763219,-122.4665032,0.3895,I5
89,545,46.7276394,-122.9789185,82,46.7335902,-122.9755046,0.4423,I5
90,367,48.7567055,-122.4595743,254,48.7566236,-122.4617918,0.1013,I5
91,2,47.2387039,-122.3575768,137,47.2405897,-122.3632091,0.2949,I5
92,994,45.9063672,-122.7403146,21,45.9025012,-122.7405472,0.2676,I5
93,1640,45.8172276,-122.6841113,14,45.8215387,-122.6888377,0.3753,I5
