,gas_lat,gas_long,attr_cnt_1mile,attr_cnt_5mile,distance_to_nearest_attr,violent_crime,murder_nonnegligent_manslaughter,Rape1,Robbery,aggravated_assault,property_crime,Burglary,larceny_theft,motor_vehicle_theft,Arson,highway,num_EV_in_2_miles_of_gas,num_EV_in_5_miles_of_gas,num_EV_in_10_miles_of_gas,num_EV_in_20_miles_of_gas,num_EV_in_50_miles_of_gas,distance_to_closest_ev_station,nri_build_value,nri_agri_value,nri_area,nri_risk_score,nri_risk_rating,census_tract_category,traff_cnt_10m_avg,traff_cnt_10m_max,traff_cnt_5m_avg,traff_cnt_5m_max,matched,census_tract_city
0,48.3937602975452,-122.3298055,0,1,1.102,0.0013970196913251729,2.6609898882384245e-05,0.00031931878658861094,0.00037253858435337944,0.0006785524215007983,0.031173496540713146,0.00369877594465141,0.0251729643427355,0.0023017562533262374,9.313464608834486e-05,,3,14,16,36,291,0.4026,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,1,2.0,21209.85915492957,72000,23733.802816901407,72000,0,1
1,47.1917122975452,-120.916225,0,1,4.2247,0.0020565129765968823,0.0,0.0004935631143832517,0.00024678155719162585,0.0013161683050220048,0.029983959198782544,0.003948504915066014,0.024760416238226463,0.001275038045490067,0.00012339077859581293,,2,4,4,4,67,0.6466,16663000.0,0.0,0.127737213476,10.83054949538829,0,2.0,11678.727272727272,36000,9901.02564102564,34000,0,1
2,47.2387038975452,-122.3575768,0,4,3.4174,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,2,49,125,241,500,0.6797,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,1,2.0,39766.9,219000,43117.857142857145,219000,1,1
3,47.2387038975452,-122.3575768,0,4,3.4174,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,2,49,125,241,500,0.6797,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,1,2.0,39766.9,219000,43117.857142857145,219000,1,1
4,47.2387038975452,-122.3575768,0,4,3.4174,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,2,49,125,241,500,0.6797,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,1,2.0,39766.9,219000,43117.857142857145,219000,1,1
5,47.2387038975452,-122.3575768,0,4,3.4174,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,2,49,125,241,500,0.6797,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,1,2.0,39766.9,219000,43117.857142857145,219000,1,1
6,48.4352268975452,-122.2913239,0,1,2.92,0.0013970196913251729,2.6609898882384245e-05,0.00031931878658861094,0.00037253858435337944,0.0006785524215007983,0.031173496540713146,0.00369877594465141,0.0251729643427355,0.0023017562533262374,9.313464608834486e-05,,5,14,16,35,233,0.9865,16663000.0,0.0,0.127737213476,10.83054949538829,0,2.0,20470.068493150684,72000,23101.204819277107,72000,0,1
7,47.8396080975452,-120.014523,0,0,5.0,0.0017964245356822067,2.8974589285196883e-05,0.00046359342856315013,0.00028974589285196884,0.0010141106249818908,0.01848578796395561,0.0019123228928229943,0.015414481499724741,0.0011589835714078754,2.8974589285196883e-05,,2,4,7,11,49,0.1992,16663000.0,0.0,0.127737213476,10.83054949538829,0,0.0,5653.9473684210525,12000,6723.076923076923,12000,0,0
8,47.1395415975452,-122.0973429,0,1,3.5029,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,0,1,15,128,500,2.9293,173495000.0,277333.06606652244,1.998821868554,26.6108745155548,1,2.0,27157.016129032258,104000,15800.0,44000,0,1
9,47.2347702975452,-122.5046745,0,11,1.6721,0.006015165173126889,4.029906145606872e-05,0.0006044859218410308,0.0013871361153825759,0.0039832440744472135,0.04105201760432685,0.006587836046449971,0.028932605122222812,0.005531576435654065,0.00031602948194495997,,21,77,100,219,500,0.5279,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,1,2.0,41485.22857142857,219000,46624.71698113208,219000,1,1
10,47.5442952975452,-122.0365967,0,1,2.2627,0.003598806641069207,2.8362342301363267e-05,0.0003901159912772419,0.0011864021298513654,0.0019939261776392363,0.03638942031118306,0.006071681806627691,0.025832207312668068,0.0044855311918872995,0.00010328173705968133,,22,30,257,500,500,0.3052,16663000.0,0.0,0.127737213476,10.83054949538829,0,2.0,39040.77669902913,185000,32267.83333333333,111000,0,1
11,47.6060395975452,-122.3241049,13,18,0.3322,0.003598806641069207,2.8362342301363267e-05,0.0003901159912772419,0.0011864021298513654,0.0019939261776392363,0.03638942031118306,0.006071681806627691,0.025832207312668068,0.0044855311918872995,0.00010328173705968133,,220,276,500,500,500,0.0311,1087730000.0,0.0,0.183133584028,41.01693720339456,2,2.0,47235.4,240000,63841.824817518245,240000,1,1
