,Longitude,Latitude,GEOID,COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_SCORE,RISK_RATNG,INTPTLAT,INTPTLONG,zipcode,geometry,category
0,-122.3298055,48.3937602975452,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
1,-122.3653418,48.4302542975452,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
2,-122.362159,48.4275483975452,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
3,-122.3658507,48.4300673975452,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
4,-122.32859965,48.3986181,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
5,-122.345898040643,48.4214447499173,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
6,-122.33225565,48.4001932,53057952600,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233000012,2
7,-120.916225,47.1917122975452,53037975103,,,,,,,,,,,0.0005839356224999392,2
8,-120.9407675,47.1949619975452,53037975103,,,,,,,,,,,0.0005839356224999392,2
9,-120.9353024,47.1921707975452,53037975103,,,,,,,,,,,0.0005839356224999392,2
10,-120.941584,47.1950400975452,53037975103,,,,,,,,,,,0.0005839356224999392,2
11,-120.9207821,47.1929132975452,53037975103,,,,,,,,,,,0.0005839356224999392,2
12,-122.3575768,47.2387038975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
13,-122.3565415,47.2433837975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
14,-122.3578584,47.2392200975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
15,-122.3705969,47.2428051975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
16,-122.3483514,47.2424328975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
17,-122.3714251,47.2428675975452,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
18,-122.385071824969,47.2452780996867,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
19,-122.382594650035,47.2428958499995,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
20,-122.384587846554,47.2449433686927,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
21,-122.38513955,47.2434319,53053940002,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.001613809464499942,2
22,-122.2913239,48.4352268975452,53057952304,,,,,,,,,,,0.0015328702770000628,2
23,-120.014523,47.8396080975452,53007960302,,,,,,,,,,,0.018331011078999444,0
24,-120.004349,47.8398120975452,53007960302,,,,,,,,,,,0.018331011078999444,0
25,-120.014432,47.8400550975452,53007960302,,,,,,,,,,,0.018331011078999444,0
26,-122.0973429,47.1395415975452,53053070204,Pierce,3598.0,173495000.0,277333.06606652244,1.998821868554,26.6108745155548,Relatively High,47.1424677,-122.1276898,98391.0,0.000622209374999961,2
27,-122.5046745,47.2347702975452,53053062801,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998712,2
28,-122.504801998507,47.2068323999171,53053062801,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998712,2
29,-122.484224550986,47.2315323737237,53053062801,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998712,2
30,-122.502883,47.23409135,53053062801,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998712,2
31,-122.4937579,47.23213285,53053062801,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998712,2
32,-122.0365967,47.5442952975452,53033032220,,,,,,,,,,,0.00073047012950002,2
33,-122.019706660226,47.540241300576,53033032220,,,,,,,,,,,0.00073047012950002,2
34,-122.3241049,47.6060395975452,53033008500,King,4341.0,1087730000.0,0.0,0.183133584028,41.01693720339456,Very High,47.6049717,-122.3249555,98104.0,5.449766199999237e-05,2
35,-122.1148925,47.6716835975452,53033032331,,,,,,,,,,,0.00017134091850000587,2
36,-122.126916387591,47.6752007333536,53033032331,,,,,,,,,,,0.00017134091850000587,2
37,-122.2998584,47.9224274975452,53061041301,Snohomish,5117.0,673176000.0,6448.103390391148,1.749941291558001,23.57669539323997,Relatively Moderate,47.9331011,-122.3015587,98275.0,0.0005694116194960131,2
38,-122.3739625,48.2412269975452,53061053301,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0,0.0032461208832139693,1
39,-122.3578345,48.2407901975452,53061053301,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0,0.0032461208832139693,1
40,-122.3738284,48.2408768975452,53061053301,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0,0.0032461208832139693,1
41,-122.3308338,48.2389125975452,53061053301,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0,0.0032461208832139693,1
42,-122.374696767961,48.2412713778787,53061053301,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0,0.0032461208832139693,1
43,-122.3318182,48.3405951975452,53057952700,Skagit,3674.0,421560000.0,38788953.62662663,63.02695186854607,39.94470503143092,Very High,48.3366692,-122.3101376,98273.0,0.020563831051459952,0
44,-122.3410856,48.3408742975452,53057952700,Skagit,3674.0,421560000.0,38788953.62662663,63.02695186854607,39.94470503143092,Very High,48.3366692,-122.3101376,98273.0,0.020563831051459952,0
45,-122.34131165,48.34149395,53057952700,Skagit,3674.0,421560000.0,38788953.62662663,63.02695186854607,39.94470503143092,Very High,48.3366692,-122.3101376,98273.0,0.020563831051459952,0
46,-119.3490955,46.2875508975452,53005010708,Benton,2440.0,189564000.0,528711.9837563175,3.295461265317999,12.770705651428909,Relatively Low,46.2931585,-119.3527554,99353.0,0.000812877287999976,2
47,-119.3392798,46.2968801975452,53005010708,Benton,2440.0,189564000.0,528711.9837563175,3.295461265317999,12.770705651428909,Relatively Low,46.2931585,-119.3527554,99353.0,0.000812877287999976,2
48,-119.8600033,47.0829085975452,53025010700,Grant,2755.0,240849000.0,255675913.05264765,329.5852093206482,27.159839541139,Relatively High,47.0474885,-119.6084876,99357.0,0.10965915339899886,0
49,-119.8594695,47.0832883975452,53025010700,Grant,2755.0,240849000.0,255675913.05264765,329.5852093206482,27.159839541139,Relatively High,47.0474885,-119.6084876,99357.0,0.10965915339899886,0
50,-119.832914,47.1038590975452,53025010700,Grant,2755.0,240849000.0,255675913.05264765,329.5852093206482,27.159839541139,Relatively High,47.0474885,-119.6084876,99357.0,0.10965915339899886,0
51,-122.957653,46.7012351975452,53041970700,Lewis,4184.0,393549000.0,509829.7260092134,4.957542730163995,35.433334771943365,Relatively High,46.7044996,-122.9284675,98531.0,0.0015109325240001512,2
52,-122.9560933,46.7114906975452,53041970700,Lewis,4184.0,393549000.0,509829.7260092134,4.957542730163995,35.433334771943365,Relatively High,46.7044996,-122.9284675,98531.0,0.0015109325240001512,2
53,-122.9569005,46.7109222975452,53041970700,Lewis,4184.0,393549000.0,509829.7260092134,4.957542730163995,35.433334771943365,Relatively High,46.7044996,-122.9284675,98531.0,0.0015109325240001512,2
54,-123.0998193,47.2130806975452,53045960800,Mason,4014.0,421405000.0,655839.161073003,5.236561657076001,28.425531508612732,Relatively High,47.2328952,-123.0912417,98584.0,0.0017944687750000336,2
55,-123.09982105,47.2130885,53045960800,Mason,4014.0,421405000.0,655839.161073003,5.236561657076001,28.425531508612732,Relatively High,47.2328952,-123.0912417,98584.0,0.0017944687750000336,2
56,-122.3223483,48.9203725975452,53073010201,,,,,,,,,,,0.00996951513000006,1
57,-122.2883146,48.8432982975452,53073010201,,,,,,,,,,,0.00996951513000006,1
58,-122.3215516,48.9203558975452,53073010201,,,,,,,,,,,0.00996951513000006,1
59,-122.4602115,48.7567705975452,53073000700,Whatcom,6489.0,583892000.0,1338.3895309169463,1.219622086415999,28.064628182006775,Relatively High,48.7639099,-122.449936,98226.0,0.0003855653980000577,2
60,-122.4582975,48.7723261975452,53073000700,Whatcom,6489.0,583892000.0,1338.3895309169463,1.219622086415999,28.064628182006775,Relatively High,48.7639099,-122.449936,98226.0,0.0003855653980000577,2
61,-122.4595743,48.7567054975452,53073000700,Whatcom,6489.0,583892000.0,1338.3895309169463,1.219622086415999,28.064628182006775,Relatively High,48.7639099,-122.449936,98226.0,0.0003855653980000577,2
