,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1262,47.5472492,-122.3213008,161,47.5516486,-122.3170888,0.3623,I5
1,461,47.2382577,-122.4111982,135,47.2390248,-122.4109751,0.0541,I5
2,1755,47.4851317,-122.2702473,156,47.4861061,-122.2677827,0.1335,I5
3,926,47.4169994,-122.28806,151,47.4162706,-122.2896227,0.0888,I5
4,962,47.484727,-122.2709634,156,47.4861061,-122.2677827,0.1766,I5
5,729,47.0482401,-122.822874,109,47.046987,-122.8221884,0.0925,I5
6,45,47.0938386,-122.6257477,119,47.0911975,-122.6305634,0.2912,I5
7,496,47.2424329,-122.3483514,137,47.2411216,-122.351387,0.169,I5
8,176,47.2392201,-122.3578584,137,47.2405897,-122.3632091,0.2685,I5
9,1779,47.4824618,-122.2692206,156,47.4861061,-122.2677827,0.2609,I5
10,46,47.1385049,-122.5255984,124,47.1394716,-122.5206519,0.2422,I5
11,1873,47.2391243,-122.3565496,137,47.2411216,-122.351387,0.279,I5
12,953,47.1492754,-122.5038904,126,47.1498355,-122.4998494,0.194,I5
13,1277,47.1501838,-122.5023028,126,47.1498355,-122.4998494,0.1179,I5
14,1905,47.2079846,-122.463427,nan,47.20953,-122.462382,0.1176,I5
15,629,47.0615311,-122.7655122,111,47.0643741,-122.7590318,0.3632,I5
16,832,47.0445273,-122.8450987,108,47.0445824,-122.8432981,0.085,I5
17,817,47.1614528,-122.4838952,nan,47.1607735,-122.4816961,0.1136,I5
18,1284,47.4849093,-122.2715897,156,47.4861061,-122.2677827,0.1963,I5
19,834,47.0476336,-122.8339994,108,47.046106,-122.8322178,0.135,I5
20,833,47.0477589,-122.8331307,108,47.046106,-122.8322178,0.1222,I5
21,1301,47.2428958,-122.3825947,136,47.2409478,-122.3796371,0.1935,I5
22,578,47.1813111,-122.4626623,128,47.1763219,-122.4665032,0.3895,I5
23,2,47.2387039,-122.3575768,137,47.2405897,-122.3632091,0.2949,I5
24,200,47.0657885,-122.7216569,114,47.0679297,-122.725374,0.2294,I5
