gas_key,gas_name_x,gas_lat,gas_long,attr_cnt_1mile_x,attr_cnt_5mile_x,attr_name_x,attr_lat_x,attr_long_x,distance_to_nearest_attr_x,crime_coord_x,crime_county_x,crime_population_x,violent_crime_x,murder_nonnegligent_manslaughter_x,Rape1_x,Robbery_x,aggravated_assault_x,property_crime_x,Burglary_x,larceny_theft_x,motor_vehicle_theft_x,Arson_x,total_crime_x,exit_name_x,exit_lat_x,exit_long_x,distance_to_nearest_exit_x,exit_x,num_EV_in_2_miles_of_gas_x,num_EV_in_5_miles_of_gas_x,num_EV_in_10_miles_of_gas_x,num_EV_in_20_miles_of_gas_x,num_EV_in_50_miles_of_gas_x,Closest_EV_Station_name_x,Closest_EV_Station_lat_x,Closest_EV_Station_long_x,distance_to_closest_ev_station_x,nri_geoid_x,nri_county_x,nri_population_x,nri_build_value_x,nri_agri_value_x,nri_area_x,nri_risk_score_x,nri_risk_rating_x,nri_intpt_lat_x,nri_intpt_long_x,nri_zipcode_x,census_tract_area_x,census_tract_category_x,traff_cnt_10m_avg_x,traff_cnt_10m_max_x,traff_cnt_5m_avg_x,traff_cnt_5m_max_x,num_ev_2_charger_cnt_5mile,num_ev_fast_charger_cnt_5mile
20,76,48.7732271,-122.4570005,0,1,Mindport Exhibits,48.7508811,-122.4806741,1.8853,"48.7732270975452,-122.4570005",Whatcom,112979,267,4,33,63,167,3000,356,2525,119,8,6542,255,48.7681611,-122.4622283,0.4238,I5,11,27,27,42,93,BARKLEY VILLAGE CORNERSTONE 1,48.772296,-122.443265,0.6295,53073000803,Whatcom,6275,652578000,21188.30706,1.77188231,25.44690813,Relatively High,48.7710274,-122.4330105,98226,0.000570367,2,20518.75,69000,24015.85366,69000,63,15
22,76,48.7646145,-122.4858024,1,1,Mindport Exhibits,48.7508811,-122.4806741,0.9783,"48.7646144975452,-122.4858024",Whatcom,112979,267,4,33,63,167,3000,356,2525,119,8,6542,255,48.7681611,-122.4622283,1.1024,I5,19,27,27,46,93,Hotel Bellwether - Tesla Destination,48.754134,-122.497055,0.8882,53073000401,,,,,,,,,,,0.000353435,2,21123.04688,69000,23002.27273,69000,63,15
23,76,47.6251789,-122.3203029,1,19,Mystery Coke Machine,47.6200011,-122.3199008,0.3586,"47.6251788975452,-122.3203029",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,166,47.623249,-122.3287142,0.4142,I5,218,273,500,500,500,Broadway Market,47.622046,-122.321607,0.2251,53033006500,King,4157,578037000,0,0.443097605,22.0298927,Relatively Moderate,47.6309633,-122.3177579,98102,0.000138502,2,48975.62,240000,58660.06369,240000,615,75
27,76,47.6436761,-122.3041808,2,18,Three Brick Monoliths,47.6562225,-122.309832,0.9069,"47.6436760975452,-122.3041808",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,168 A,47.6461934,-122.3229546,0.8921,I5,38,292,500,500,500,University of Washington - Husky Stadium,47.648934,-122.302389,0.3732,53033006200,King,3848,640383000,787.0331115,1.053340696,29.72308575,Relatively High,47.6391316,-122.3012264,98112,0.000321424,2,48154.22,240000,53440.77844,240000,639,99
32,76,46.5475776,-122.8791994,0,1,World's Largest Egg,46.4933269,-122.9378909,4.6782,"46.5475775975452,-122.8791994",Lewis,27442,83,1,17,20,45,1072,150,856,66,1,2311,68,46.5427855,-122.876513,0.3553,I5,0,0,0,7,107,TWIN TRANSIT MELLEN ST. 2,46.711291,-122.976524,12.2314,53041971300,Lewis,5571,452621000,8166526.581,41.19736062,34.53151275,Relatively High,46.5334802,-122.8783035,98596,0.012507247,0,18119.90099,75000,17712.97297,61000,0,0
33,76,46.5844372,-122.8853267,0,0,,,,,"46.5844371975452,-122.8853267",Lewis,27442,83,1,17,20,45,1072,150,856,66,1,2311,71,46.579128,-122.8839875,0.3727,I5,0,0,2,6,129,TWIN TRANSIT MELLEN ST. 2,46.711291,-122.976524,9.7849,53041971400,Lewis,2608,350762000,6591452.903,21.1546031,32.94459937,Relatively High,46.6131369,-122.9633237,98532,0.006476835,1,18439.62264,75000,20191.35135,64000,0,0
42,76,47.1638283,-122.4841219,0,9,,47.1317937,-122.4819816,2.2181,"47.1638282975452,-122.4841219",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,,47.1634222,-122.4791185,0.237,I5,4,31,108,175,500,LAKEVIEW L&P 1 LLP 1,47.153199,-122.504023,1.1903,53053071807,Pierce,3480,581020000,989.4513843,1.599631783,34.03839902,Relatively High,47.1696254,-122.4954777,98499,0.000501669,2,42573.07487,219000,47727.63158,190000,64,4
43,76,47.2433838,-122.3565415,0,4,Wagon Trail,47.2754374,-122.3088968,3.1494,"47.2433837975452,-122.3565415",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,137,47.2411216,-122.351387,0.2882,I5,2,47,125,244,500,BJ's Bingo & Gaming,47.2439401,-122.3698252,0.625,53053940002,Pierce,3945,942609000,230639.911,5.154739307,35.36071362,Relatively High,47.2491493,-122.3641906,98424,0.001613809,2,39663.1,219000,43690.50633,219000,92,15
44,76,47.2419125,-122.4153676,0,5,Pacific Grill Events Center,47.2483674,-122.4377775,1.1431,"47.2419124975452,-122.4153676",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,134,47.238458,-122.416415,0.244,I5,36,74,127,231,500,Central WW Treatment Plant,47.2478256,-122.4141119,0.4132,53053060200,Pierce,1928,979018000,64252.77028,6.070989469,36.02761482,Very High,47.2668489,-122.4078355,98421,0.002292409,2,40617.78,219000,44955.33333,219000,147,16
45,76,47.0938386,-122.6257477,0,0,,,,,"47.0938385975452,-122.6257477",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,119,47.0911975,-122.6305634,0.2912,I5,2,3,24,174,500,DuPont Grocery Inc.,47.093942,-122.6260623,0.0165,53053072802,,,,,,,,,,,0.000513145,2,43645.83333,170000,42267.46032,146000,6,0
46,76,47.1385049,-122.5255984,0,8,Canadian Vickers SA-10A Catalina,47.1309154,-122.4838118,2.0351,"47.1385048975452,-122.5255984",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,124,47.1394716,-122.5206519,0.2422,I5,3,13,87,180,500,LAKEVIEW L&P 1 LLP 1,47.153199,-122.504023,1.4364,53053071901,Pierce,4713,600856000,0,1.605214046,36.1776496,Very High,47.1580824,-122.5177253,98499,0.000496034,2,45064.24242,219000,44000.97087,170000,25,0
51,76,47.4693728,-122.2535219,0,4,SyKart Indoor Racing Center,47.4470029,-122.2425564,1.6301,"47.4693727975452,-122.2535219",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,1,47.4623828,-122.2498889,0.5125,I5,27,84,185,500,500,FORT DENT STATION EV 1,47.466305,-122.248888,0.3033,53033026200,King,4998,2037715000,53395.61361,5.892584476,49.61645775,Very High,47.4591441,-122.2435898,98057,0.001895613,2,45146.26,240000,42050.03745,220000,176,39
57,76,47.5776843,-122.1370505,0,2,Fantastic Erratic,47.5302635,-122.0803656,4.2145,"47.5776842975452,-122.1370505",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,,47.578947,-122.1347114,0.1398,I90,24,198,500,500,500,EASTGATE 15395 DUAL - #1,47.582147,-122.136648,0.3093,53033024800,King,5668,769447000,5613.193302,1.45777868,32.00766992,Relatively High,47.5743868,-122.1520699,98006,0.00044728,2,48622.48,240000,47565.56962,185000,405,42
58,76,47.5462427,-122.2758751,0,6,Seattle Escape Games,47.5570432,-122.338531,3.019,"47.5462426975452,-122.2758751",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,161,47.5421855,-122.3038874,1.3377,I90,6,83,500,500,500,King Plaza,47.53846,-122.28305,0.6341,53033010200,King,4835,615004000,7406.574818,1.074633836,29.17518989,Relatively High,47.5564564,-122.2517138,98118,0.000583565,2,46551.88,240000,53999.71264,240000,214,35
59,76,47.7084323,-122.3322502,0,5,Historic Carousel,47.6701584,-122.3521552,2.805,"47.7084322975452,-122.3322502",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,,47.7084293,-122.3303797,0.0871,I5,21,68,500,500,500,Northgate Mall - Tesla Supercharger,47.706729,-122.327754,0.2402,53033001201,,,,,,,,,,,0.000120809,2,47066.12,240000,41858.71795,199000,128,53
60,76,47.7490673,-122.3451868,0,0,,,,,"47.7490672975452,-122.3451868",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,,47.7500071,-122.3295278,0.7312,I5,6,49,368,500,500,Geo Apartments,47.7592911,-122.3448427,0.7074,53033020700,King,3569,418352000,0,0.660694654,33.99217334,Relatively High,47.7561637,-122.3473227,98133,0.000206061,2,43766.43956,201000,40120.91954,199000,72,35
66,76,48.0525208,-122.186268,0,1,Abby Lola Bertain Memorial Wishing Well,48.0089435,-122.1157481,4.4414,"48.0525207975452,-122.186268",Snohomish,427282,940,9,141,219,571,11159,1446,8125,1588,35,24233,199,48.0557297,-122.1847277,0.2331,I5,2,9,26,100,500,NE STATION NE STATION,48.052498,-122.189401,0.1449,53061940001,Snohomish,6462,610316000,1834429.515,19.48118491,34.20223158,Relatively High,48.0752244,-122.2219406,98271,0.006683755,1,30930.125,182000,37607.24638,143000,26,5
75,7-Eleven,47.5799157,-122.075005,0,1,Fantastic Erratic,47.5302635,-122.0803656,3.4436,"47.5799156975452,-122.075005",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,13,47.5597172,-122.0888533,1.5394,I90,1,72,279,500,500,Pine Lake Village,47.583103,-122.033895,1.9308,53033032207,King,3254,473767000,13619.90819,1.765610469,21.28644139,Relatively Moderate,47.5834873,-122.0602972,98075,0.000711458,2,43722.16561,185000,35817.14286,185000,145,21
76,7-Eleven,47.6312504,-122.1540725,0,2,Microsoft Visitor Center,47.6426765,-122.1367218,1.1308,"47.6312503975452,-122.1540725",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,14,47.6405991,-122.1867051,1.6528,I90,71,218,500,500,500,EASTSIDE HD DCFAST HOG,47.630585,-122.15664,0.1282,53033023701,,,,,,,,,,,0.000492782,2,50194.83333,240000,45351.48571,185000,440,36
77,7-Eleven,47.6648266,-122.3280501,0,19,Three Brick Monoliths,47.6562225,-122.309832,1.0366,"47.6648265975452,-122.3280501",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,,47.6680396,-122.3225548,0.339,I5,29,282,500,500,500,Bedrooms & More,47.66159,-122.324877,0.2683,53033005201,,,,,,,,,,,9.22E-05,2,50197.38,240000,48787.35294,201000,626,102
