,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,858,47.9677294,-122.1965963,192,47.9684224,-122.1978473,0.0752,I5
1,2095,48.1472532,-122.1890676,206,48.1422869,-122.1869123,0.3576,I5
2,1265,47.882229,-122.2307859,186,47.8847509,-122.2304597,0.1751,I5
3,536,48.1114944,-122.1862485,202,48.1038893,-122.1850534,0.5289,I5
4,415,48.2396539,-122.2437396,212,48.2421077,-122.2446144,0.1744,I5
5,943,48.2375644,-122.2418167,212,48.2352709,-122.2374372,0.2567,I5
6,1760,48.2685843,-122.2721787,215,48.2708471,-122.2728044,0.1592,I5
7,520,48.0751257,-122.1829033,200,48.079947,-122.1849707,0.3469,I5
8,1030,48.0516262,-122.1826522,199,48.0487267,-122.1836594,0.2059,I5
9,517,47.9820464,-122.1890993,nan,47.9833226,-122.1853609,0.1943,I5
10,66,48.0525208,-122.186268,199,48.0557297,-122.1847277,0.2331,I5
11,941,47.8816625,-122.2306663,186,47.8847509,-122.2304597,0.2138,I5
12,404,48.2101347,-122.2137654,210,48.2063282,-122.2143483,0.2647,I5
13,1088,47.8816348,-122.2369056,186,47.8790697,-122.2369578,0.1774,I5
14,2059,48.1876564,-122.1995406,208,48.1842323,-122.1994394,0.2369,I5
15,1266,47.8821731,-122.2366106,186,47.8790697,-122.2369578,0.2153,I5
16,515,47.9123788,-122.2066974,nan,47.9107682,-122.2094924,0.1709,I5
17,2146,48.0776645,-122.1870298,200,48.079947,-122.1849707,0.1843,I5
18,857,47.9220901,-122.2076098,nan,47.9242083,-122.2047401,0.1979,I5
19,147,48.1347619,-122.1833792,206,48.1422869,-122.1869123,0.5455,I5
20,1582,48.1880744,-122.2061474,208,48.1912897,-122.2061029,0.2224,I5
21,521,48.0753694,-122.1821415,200,48.079947,-122.1849707,0.3426,I5
22,1306,47.8816977,-122.2295281,186,47.8847509,-122.2304597,0.2156,I5
23,1004,48.051591,-122.1817565,199,48.0487267,-122.1836594,0.2168,I5
24,991,48.0760818,-122.1819865,200,48.079947,-122.1849707,0.3008,I5
25,2063,48.1883989,-122.1995682,208,48.1842323,-122.1994394,0.2883,I5
26,482,48.05208,-122.1817114,199,48.0487267,-122.1836594,0.2488,I5
27,998,47.8500569,-122.2542202,183,47.8537439,-122.2555751,0.2627,I5
28,2054,48.1883778,-122.1988343,208,48.1842323,-122.1994394,0.2881,I5
29,2140,48.1875994,-122.1980032,208,48.1842323,-122.1994394,0.2421,I5
30,975,48.0520302,-122.1809752,199,48.0487267,-122.1836594,0.26,I5
31,1251,48.1521886,-122.1850802,206,48.1574791,-122.1898732,0.4276,I5
32,280,47.9047218,-122.2077097,nan,47.9046069,-122.2129464,0.243,I5
33,291,48.0998083,-122.1885531,202,48.0959978,-122.1847278,0.3173,I5
34,986,47.882195,-122.2391682,186,47.8790697,-122.2369578,0.2393,I5
35,1311,48.0538162,-122.1883356,199,48.0557297,-122.1847277,0.2129,I5
36,891,47.9075562,-122.2065579,nan,47.9107682,-122.2094924,0.2605,I5
37,12,48.3405952,-122.3318182,221,48.3373548,-122.3344939,0.2557,I5
38,636,47.8499877,-122.2521912,183,47.8537439,-122.2555751,0.3036,I5
39,1118,47.8495803,-122.2623638,183,47.8537439,-122.2555751,0.4269,I5
40,519,48.047848,-122.1769194,198,48.0447814,-122.1817074,0.3066,I5
41,2053,48.148862,-122.1825506,206,48.1422869,-122.1869123,0.4974,I5
42,1000,47.8823299,-122.2427068,186,47.8790697,-122.2369578,0.3493,I5
43,999,48.152733,-122.1824086,206,48.1574791,-122.1898732,0.4758,I5
44,2046,48.0616688,-122.1774108,199,48.0557297,-122.1847277,0.5322,I5
45,13,48.3408743,-122.3410856,221,48.3453352,-122.3362734,0.3797,I5
46,575,48.1000128,-122.1924823,202,48.1038893,-122.1850534,0.4355,I5
47,2138,48.0583792,-122.176548,199,48.0557297,-122.1847277,0.4202,I5
48,1069,48.341494,-122.3413116,221,48.3453352,-122.3362734,0.3525,I5
49,1815,48.1520868,-122.1804002,206,48.1574791,-122.1898732,0.5746,I5
50,1826,48.062049,-122.1764292,200,48.068138,-122.1847688,0.571,I5
51,2104,48.0687407,-122.1765239,200,48.068138,-122.1847688,0.3834,I5
52,581,47.9764674,-122.2011946,194,47.9760312,-122.1905599,0.4934,I5
53,2135,48.1003595,-122.1747725,202,48.1038893,-122.1850534,0.534,I5
54,2037,47.9629823,-122.2102787,nan,47.9570491,-122.1994275,0.6489,I5
55,2118,48.0824356,-122.1731112,200,48.079947,-122.1849707,0.5744,I5
56,1825,47.9628956,-122.2113301,nan,47.9570491,-122.1994275,0.6837,I5
57,1612,47.9635023,-122.2113048,nan,47.9570491,-122.1994275,0.7085,I5
58,105,47.9635065,-122.2113097,nan,47.9570491,-122.1994275,0.7088,I5
59,247,47.982152,-122.201882,194,47.9760312,-122.1905599,0.6739,I5
60,1153,48.0853107,-122.1718965,200,48.079947,-122.1849707,0.709,I5
61,1510,47.8498523,-122.2408519,183,47.8537439,-122.2555751,0.7345,I5
