Longitude,Latitude,name
-122.3298055,48.3937602975452,24 Hour Express Fuel
-120.916225,47.1917122975452,76
-122.3575768,47.2387038975452,76
-122.2913239,48.4352268975452,76
-120.014523,47.8396080975452,76
-122.0973429,47.1395415975452,76
-122.5046745,47.2347702975452,76
-122.0365967,47.5442952975452,76
-122.3241049,47.6060395975452,76
-122.1148925,47.6716835975452,76
-122.2998584,47.9224274975452,76
-122.3739625,48.2412269975452,76
-122.3318182,48.3405951975452,76
-122.3410856,48.3408742975452,76
-119.3490955,46.2875508975452,76
-119.8600033,47.0829085975452,76
-122.957653,46.7012351975452,76
-123.0998193,47.2130806975452,76
-122.3223483,48.9203725975452,76
-122.4602115,48.7567705975452,76
-122.4570005,48.7732270975452,76
-122.502472,48.7173990975452,76
-122.4858024,48.7646144975452,76
-122.3203029,47.6251788975452,76
-122.2142107,47.3155676975452,76
-122.2286604,47.2938204975452,76
-122.1077834,48.0029776975452,76
-122.3041808,47.6436760975452,76
-122.1256246,47.8341683975452,76
-122.3629663,47.7910271975452,76
-120.303316,47.4111952975452,76
-120.8052204,45.8260948975452,76
-122.8791994,46.5475775975452,76
-122.8853267,46.5844371975452,76
-122.3009198,46.8879567975452,76
-120.2888516,47.4055262975452,76
-120.2276378,47.6255786975452,76
-121.9776053,47.8615956975452,76
-122.2938197,47.1180105975452,76
-122.039416,47.1585153975452,76
-122.1848508,47.1774151975452,76
-122.258855,47.1453002975452,76
-122.4841219,47.1638282975452,76
-122.3565415,47.2433837975452,76
-122.4153676,47.2419124975452,76
-122.6257477,47.0938385975452,76
-122.5255984,47.1385048975452,76
-122.1555212,47.2752862975452,76
-122.1658606,47.3872546975452,76
-122.1017014,47.4624242975452,76
-122.2043609,47.4624782975452,76
-122.2535219,47.4693727975452,76
-122.5164306,47.2714384975452,76
-122.5780979,47.3087103975452,76
-122.5880995,47.3227836975452,76
-123.0207959,47.0794798975452,76
-123.0940068,47.1425696975452,76
-122.1370505,47.5776842975452,76
-122.2758751,47.5462426975452,76
-122.3322502,47.7084322975452,76
-122.3451868,47.7490672975452,76
-122.6265391,47.5416129975452,76
-122.0116555,47.8490120975452,76
-122.118836,47.8472637975452,76
-122.3646583,47.7648821975452,76
-122.03764,47.9859769975452,76
-122.186268,48.0525207975452,76
-122.3653418,48.4302542975452,76
-122.2218235,47.3230588975452,76'
-122.449191,48.9442170975452,76 Gas Station
-122.2926599,47.1626200975452,7-Eleven
-122.2804117,47.8827630975452,7-Eleven
-122.3007033,47.9218347975452,7-Eleven
-122.800855,47.0374532975452,7-Eleven
-122.4775168,47.2554532975452,7-Eleven
-122.075005,47.5799156975452,7-Eleven
-122.1540725,47.6312503975452,7-Eleven
-122.3280501,47.6648265975452,7-Eleven
-122.2274112,47.9221907975452,7-Eleven
-119.2793752,46.2940790975452,7-Eleven
-119.2733006,46.3186836975452,7-Eleven
-120.5485852,46.9993060975452,7-Eleven
-123.8413082,46.9749480975452,7-Eleven
-120.5332538,47.0022181975452,7-Eleven
-122.4724303,47.2144543975452,7-Eleven
-122.4659711,47.2423775975452,7-Eleven
-122.6091848,47.5189860975452,7-Eleven
-122.6145022,48.5127994975452,7-Eleven
-122.2037452,48.7157781975452,Acme General Store
-122.9177646,46.9688920975452,Airport Fuel Farm
-122.4332768,47.1187781975452,Albertsons Gas
-119.979314,46.3089197975452,Ameristar
-122.6996591,47.1650774975452,Anderson Island Gas Station
-122.3362076,47.4599067975452,Andy's
-122.2982662,47.8206265975452,Arco
-122.9745094,46.7262007975452,Arco
-122.2934345,47.1508715975452,Arco
-123.8245127,46.9693500975452,Arco
-120.5213968,46.6647384975452,Arco
-122.3559758,47.0960426975452,Arco
-122.285691,47.8900744975452,Arco
-122.1434772,47.6823549975452,Arco
-122.7222738,47.0656862975452,Arco
-122.5531658,45.7091239975452,Arco
-120.5098608,46.5709654975452,Arco
-122.2113097,47.9635064975452,Arco
-122.1754757,47.7043385975452,ARCO
-122.3104218,47.7341621975452,ARCO
-121.776283,47.8685492975452,ARCO
-119.9780366,46.3092032975452,ARCO
-122.2942348,47.0526876975452,ARCO
-120.7074431,46.7300653975452,ARCO
-121.8883743,47.5671349975452,ARCO
-122.1537127,47.4485215975452,ARCO
-122.3487698,47.4813655975452,ARCO
-122.2928594,47.1117490975452,ARCO
-122.9568898,46.6471458975452,ARCO
-122.4777528,48.7142780975452,ARCO
-122.4855668,48.7948362975452,ARCO
-122.4859331,48.9406947975452,ARCO
-122.210435,47.7659670975452,ARCO
-122.4337542,47.1813362975452,ARCO
-122.1658442,47.3583163975452,ARCO
-123.0126769,46.8019079975452,ARCO
-122.152847,47.1677094975452,ARCO
-122.1872514,47.1777592975452,ARCO
-122.2437794,47.2034920975452,ARCO
-122.4841115,47.1662399975452,ARCO
-122.1929283,47.2886904975452,ARCO
-122.0359822,47.5384558975452,ARCO
-122.0596399,47.5515933975452,ARCO
-122.1675135,47.6277945975452,ARCO
-122.1661679,47.7539873975452,ARCO
-122.2064099,47.8784911975452,ARCO
-120.6619848,47.0537515975452,ARCO
-120.1798671,46.3447958975452,ARCO
-120.4756524,46.5627193975452,ARCO
-122.5891944,46.9328874975452,ARCO
-122.4627113,47.2505376975452,ARCO
-122.1864208,47.3866326975452,ARCO
-122.6767302,47.6539171975452,ARCO
-122.2242794,47.9255185975452,ARCO
-122.2015591,47.9934160975452,ARCO
-119.0393259,46.9708002975452,Astro
-120.5428921,46.9765548975452,Astro
-122.9367196,46.1373038975452,Astro
-122.9367947,46.1372165975452,Astro
-122.1833792,48.1347618975452,Astro
