,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,57,47.5776843,-122.1370505,nan,47.578947,-122.1347114,0.1398,I90
1,134,47.0537516,-120.6619848,101,47.0532219,-120.662653,0.0483,I90
2,258,47.053554,-120.6612486,101,47.0532219,-120.662653,0.0701,I90
3,390,47.1921708,-120.9353024,84,47.19042,-120.9318804,0.2013,I90
4,467,47.2470782,-121.1844541,70,47.2469366,-121.1857406,0.0612,I90
5,129,47.5384559,-122.0359822,18,47.5393936,-122.0349382,0.0811,I90
6,444,47.5387721,-122.0367207,18,47.5393936,-122.0349382,0.0937,I90
7,1650,47.5361456,-122.034045,17,47.5371917,-122.0324124,0.1051,I90
8,1286,47.5816254,-122.167695,nan,47.5807649,-122.170383,0.1388,I90
9,1818,47.1950974,-120.9548308,84,47.1936165,-120.9658761,0.5292,I90
10,423,47.5258556,-121.9366853,22,47.5237467,-121.9365938,0.1459,I90
11,1552,46.9753686,-120.5412508,109,46.973395,-120.5396861,0.1552,I90
12,1199,47.4875577,-121.7936056,31,47.4847084,-121.7925846,0.2028,I90
13,228,46.9757506,-120.5416555,109,46.973395,-120.5396861,0.1876,I90
14,1103,47.4888306,-121.7944373,31,47.4847084,-121.7925846,0.298,I90
15,1710,47.4229556,-121.4124998,53,47.4243577,-121.4110412,0.1186,I90
16,2099,47.0053363,-120.5868835,106,47.002554,-120.5864223,0.1937,I90
17,589,47.1963122,-120.9559942,84,47.1936165,-120.9658761,0.5005,I90
18,260,46.9706968,-120.5381169,109,46.973395,-120.5396861,0.2008,I90
19,217,47.5377059,-122.0367257,18,47.5393936,-122.0349382,0.1435,I90
20,1299,47.576304,-122.1405708,nan,47.5785468,-122.1398773,0.1585,I90
21,144,46.9765549,-120.5428921,109,46.973395,-120.5396861,0.2658,I90
22,1245,47.5762099,-122.1398741,nan,47.5785468,-122.1398773,0.1616,I90
23,1176,47.4891922,-121.7939521,31,47.4847084,-121.7925846,0.3167,I90
24,1222,47.4676484,-121.7168122,34,47.4670798,-121.722899,0.2873,I90
25,1898,47.5944641,-122.3101247,3,47.5927191,-122.3121305,0.1527,I90
26,1918,47.5455117,-122.0618621,15,47.5461753,-122.0544731,0.348,I90
27,1741,46.9770666,-120.5432098,109,46.973395,-120.5396861,0.3036,I90
28,490,47.1950401,-120.941584,84,47.19042,-120.9318804,0.5569,I90
29,195,47.194962,-120.9407675,84,47.19042,-120.9318804,0.5227,I90
30,1657,47.5768335,-122.169135,nan,47.5776946,-122.1738265,0.2269,I90
31,7,47.5442953,-122.0365967,17,47.5428659,-122.0411447,0.2342,I90
32,231,47.0059764,-120.5858983,106,47.002554,-120.5864223,0.238,I90
33,1967,47.4680912,-121.715579,34,47.4670798,-121.722899,0.3494,I90
34,266,47.0070639,-120.5869983,106,47.002554,-120.5864223,0.3131,I90
35,296,46.9775239,-120.5426587,109,46.973395,-120.5396861,0.3182,I90
36,130,47.5515934,-122.0596399,15,47.5461753,-122.0544731,0.4457,I90
37,923,47.5765613,-122.1697207,nan,47.5776946,-122.1738265,0.207,I90
38,1933,46.9750835,-120.4139088,115,46.971396,-120.4195895,0.3701,I90
39,1181,47.4688453,-121.7154915,34,47.4670798,-121.722899,0.3673,I90
40,780,46.9759501,-120.4128974,115,46.9717185,-120.4073255,0.3935,I90
41,1479,47.0079204,-120.5862138,106,47.002554,-120.5864223,0.3713,I90
42,1,47.1917123,-120.916225,85,47.1848016,-120.907187,0.6395,I90
43,593,47.1929133,-120.9207821,84,47.19042,-120.9318804,0.5494,I90
44,283,47.5503196,-122.0507789,15,47.5461753,-122.0544731,0.3346,I90
45,1064,46.9434542,-119.9896804,136,46.9402989,-119.9889202,0.2212,I90
46,1193,47.5402413,-122.0197067,18,47.534314,-122.0172215,0.4261,I90
47,1090,47.5516285,-122.0453441,15,47.5461753,-122.0544731,0.5692,I90
48,1089,47.5516233,-122.0450673,15,47.5461753,-122.0544731,0.5787,I90
49,1235,47.5859657,-122.143087,nan,47.5793637,-122.1417467,0.4609,I90
50,469,47.5299297,-122.0361641,nan,47.5321582,-122.0277239,0.4233,I90
51,1236,47.5813117,-122.3137314,163 B,47.5793559,-122.3193023,0.293,I90
52,920,47.5813182,-122.3144441,163 B,47.5793559,-122.3193023,0.2642,I90
53,240,47.5781144,-122.2976155,3 B,47.5905257,-122.3035394,0.9019,I90
54,1536,47.5781015,-122.2964748,3 B,47.5905257,-122.3035394,0.9204,I90
55,1155,46.9878358,-120.5498352,109,46.973395,-120.5396861,1.1078,I90
56,1935,47.4938311,-121.7841797,31,47.4847084,-121.7925846,0.7433,I90
57,1076,47.6058679,-122.317069,nan,47.6018307,-122.3243917,0.4412,I90
58,933,47.4920312,-121.780108,31,47.4847084,-121.7925846,0.7724,I90
59,1221,47.5956502,-122.3268603,2 A,47.5922816,-122.3261897,0.2351,I90
60,1077,47.5950071,-122.1968305,12,47.5984959,-122.1799149,0.8251,I90
61,1164,46.9940909,-120.5517604,109,46.973395,-120.5396861,1.5408,I90
62,1729,46.9910354,-120.547926,109,46.973395,-120.5396861,1.2807,I90
63,1247,47.6083476,-122.3165185,nan,47.6034185,-122.3263149,0.5701,I90
64,1065,47.5956053,-122.1500803,11 B,47.5792608,-122.1500318,1.1306,I90
65,1287,47.5959408,-122.1495372,11 B,47.5792608,-122.1500318,1.154,I90
66,1110,47.5561716,-122.1209394,13,47.5689365,-122.106842,1.1012,I90
67,1493,47.0002625,-120.556951,106,47.002554,-120.5864223,1.3993,I90
68,1494,47.0003339,-120.5569118,106,47.002554,-120.5864223,1.4005,I90
69,950,47.5265451,-121.8232962,27,47.511871,-121.853054,1.7212,I90
70,1029,47.6076294,-122.3030576,2 C,47.5950701,-122.3150072,1.0321,I90
71,433,47.2075242,-120.9813303,84,47.1936165,-120.9658761,1.2054,I90
72,2120,47.5278066,-121.8754073,25,47.5099852,-121.8758426,1.2329,I90
73,8,47.6060396,-122.3241049,165,47.6037532,-122.3268247,0.2027,I90
74,1275,47.5286548,-121.8760944,25,47.5099852,-121.8758426,1.2914,I90
75,1011,47.5837488,-122.3287501,164 A,47.5848605,-122.3199879,0.416,I90
76,1863,47.5695809,-122.2896628,nan,47.568698,-122.3200139,1.4178,I90
77,548,46.999436,-120.5492075,106,47.002554,-120.5864223,1.7687,I90
78,446,47.5800062,-122.3295799,163 B,47.5793559,-122.3193023,0.4817,I90
79,81,46.9993061,-120.5485852,106,47.002554,-120.5864223,1.799,I90
80,977,47.6150706,-122.3121391,167,47.618964,-122.328272,0.799,I90
81,1908,47.6155483,-122.3098239,167,47.618964,-122.328272,0.892,I90
82,1248,47.6143358,-122.3205159,166,47.613159,-122.3300795,0.4533,I90
83,75,47.5799157,-122.075005,13,47.5597172,-122.0888533,1.5394,I90
84,1759,47.5748482,-122.3293981,nan,47.5746066,-122.3201871,0.4302,I90
85,1185,47.5745865,-122.3296264,nan,47.5746066,-122.3201871,0.4405,I90
86,2127,47.5638956,-122.2864094,162,47.5487775,-122.3120687,1.59,I90
87,1777,47.5513296,-122.1789412,9,47.5532945,-122.1926629,0.6548,I90
88,620,47.5647918,-122.0042059,18,47.534314,-122.0172215,2.194,I90
89,83,47.0022182,-120.5332538,109,46.973395,-120.5396861,2.0167,I90
90,1985,47.5598396,-122.3040572,161,47.5516486,-122.3170888,0.8313,I90
91,1462,47.609556,-122.1433792,12,47.5984959,-122.1799149,1.8678,I90
92,1075,47.6099398,-122.2063221,nan,47.6116239,-122.188512,0.8387,I90
93,331,47.6239573,-122.312844,166,47.623249,-122.3287142,0.7415,I90
94,1658,47.6101791,-122.1424209,12,47.5984959,-122.1799149,1.9264,I90
95,226,47.620869,-122.2276006,nan,47.6198563,-122.1889012,1.8057,I90
96,23,47.6251789,-122.3203029,166,47.623249,-122.3287142,0.4142,I90
97,1259,47.5453089,-122.1911841,9,47.5532945,-122.1926629,0.5567,I90
98,2096,47.5624993,-122.3298991,162,47.5614353,-122.3220541,0.3735,I90
99,2122,47.6265331,-122.292123,168 A,47.6324264,-122.3240054,1.5411,I90
100,2106,47.6266688,-122.2921769,168 A,47.6324264,-122.3240054,1.5362,I90
101,1227,47.617005,-122.1797395,13 A,47.6167683,-122.1889474,0.4296,I90
102,1111,47.6168822,-122.1814384,13 A,47.6167683,-122.1889474,0.3502,I90
103,1025,47.6170728,-122.1848892,13 A,47.6167683,-122.1889474,0.1904,I90
104,1082,47.6168126,-122.1425774,12,47.5984959,-122.1799149,2.1534,I90
105,1288,47.6173726,-122.153088,14,47.6208515,-122.1885663,1.6716,I90
106,1016,47.5516308,-122.2879141,161,47.5421855,-122.3038874,0.9915,I90
107,928,47.6167896,-122.1319186,12,47.5984959,-122.1799149,2.5712,I90
108,634,47.5822621,-122.0351769,15,47.5461753,-122.0544731,2.6536,I90
109,445,47.5834875,-122.0349972,15,47.5461753,-122.0544731,2.7363,I90
110,1086,47.617191,-122.1223162,nan,47.578947,-122.1347114,2.7078,I90
111,1919,47.6187586,-122.3441374,167,47.618964,-122.328272,0.7399,I90
112,1721,47.6216392,-122.1680868,14,47.6208515,-122.1885663,0.9564,I90
113,1633,47.5380294,-122.1655538,7,47.5352529,-122.1958335,1.427,I90
114,58,47.5462427,-122.2758751,161,47.5421855,-122.3038874,1.3377,I90
115,1537,47.5463506,-122.2853408,161,47.5421855,-122.3038874,0.9126,I90
116,1262,47.5472492,-122.3213008,161,47.5516486,-122.3170888,0.3623,I90
117,1813,47.6247039,-122.1541933,13 B,47.6231255,-122.1888613,1.6199,I90
118,1530,47.6188383,-122.3497254,165 B,47.6127312,-122.3306233,0.9858,I90
119,965,47.6352781,-122.2275937,14,47.6405991,-122.1867051,1.941,I90
120,1922,47.5465658,-122.3257922,161,47.5516486,-122.3170888,0.5373,I90
121,1046,47.5429498,-122.2837478,161,47.5421855,-122.3038874,0.9419,I90
122,1240,47.6261067,-122.3460565,166,47.623249,-122.3287142,0.8323,I90
123,1548,47.5458899,-122.3268843,161,47.5516486,-122.3170888,0.6065,I90
124,131,47.6277946,-122.1675135,13 B,47.6231255,-122.1888613,1.0463,I90
125,1634,47.6267774,-122.1435294,13 B,47.6231255,-122.1888613,2.1284,I90
126,201,47.5495205,-122.3345438,161,47.5516486,-122.3170888,0.8281,I90
127,2030,47.5409734,-122.2720034,161,47.5421855,-122.3038874,1.4911,I90
128,1338,47.6282401,-122.154312,13 B,47.6231255,-122.1888613,1.649,I90
129,1962,47.6284184,-122.1364204,13 B,47.6231255,-122.1888613,2.472,I90
130,1209,47.6189344,-122.3563495,165 B,47.6127312,-122.3306233,1.274,I90
131,27,47.6436761,-122.3041808,168 A,47.6461934,-122.3229546,0.8921,I90
132,2029,47.5379571,-122.2707983,161,47.5421855,-122.3038874,1.5725,I90
133,76,47.6312504,-122.1540725,14,47.6405991,-122.1867051,1.6528,I90
134,1629,47.5385951,-122.3199799,161,47.5421855,-122.3038874,0.7914,I90
135,1315,47.5366833,-122.2705044,161,47.5421855,-122.3038874,1.6046,I90
136,1579,47.6319368,-122.1435848,14,47.6405991,-122.1867051,2.0972,I90
137,1724,47.632086,-122.1327716,14,47.6405991,-122.1867051,2.5819,I90
138,1113,47.6343598,-122.2012969,14,47.6405991,-122.1867051,0.8055,I90
139,963,47.5347898,-122.280418,161,47.5421855,-122.3038874,1.2095,I90
140,1474,47.4734708,-122.0244603,nan,47.5321582,-122.0277239,4.0623,I90
141,366,47.5669499,-121.8877026,22,47.5302141,-121.9423991,3.6025,I90
142,112,47.567135,-121.8883743,22,47.5302141,-121.9423991,3.5894,I90
143,1945,47.5186392,-122.1998006,6,47.5159647,-122.1982863,0.1981,I90
144,1618,47.518639,-122.1971552,6,47.5159647,-122.1982863,0.1924,I90
145,1720,47.5181454,-122.1996706,6,47.5159647,-122.1982863,0.1641,I90
146,376,47.6452076,-122.3453314,168 A,47.6461934,-122.3229546,1.045,I90
147,1881,47.625383,-122.3662433,166,47.623249,-122.3287142,1.7558,I90
148,508,47.5322036,-122.3364092,162,47.5487775,-122.3120687,1.6143,I90
149,1535,47.6457059,-122.2013287,14,47.6405991,-122.1867051,0.7676,I90
150,224,47.5241335,-122.3151932,161,47.5421855,-122.3038874,1.3557,I90
151,507,47.5007636,-122.1232175,4,47.493774,-122.1923041,3.2646,I90
152,1215,47.6610403,-122.3169288,nan,47.6583538,-122.3219783,0.2998,I90
153,2145,47.6610693,-122.3180578,nan,47.6583538,-122.3219783,0.262,I90
154,1843,47.5208458,-122.2694222,158,47.510988,-122.2842042,0.9705,I90
155,980,47.6551811,-122.3426909,nan,47.6553933,-122.3224726,0.9421,I90
156,1588,47.5642346,-122.37577,162,47.5614353,-122.3220541,2.5147,I90
157,607,47.6629109,-122.3144444,nan,47.6583538,-122.3219783,0.4718,I90
158,1317,47.6615481,-122.3267467,nan,47.6583538,-122.3219783,0.3133,I90
159,1285,47.6153444,-122.0373726,13,47.5597172,-122.0888533,4.5358,I90
160,1505,47.6629215,-122.3011526,nan,47.6583538,-122.3219783,1.0204,I90
161,1523,47.6161524,-122.0349771,13,47.5597172,-122.0888533,4.6428,I90
162,1205,47.5177035,-122.315391,158,47.510988,-122.2842042,1.5292,I90
163,1986,47.5382194,-122.3607236,161,47.5516486,-122.3170888,2.2391,I90
164,1682,47.5813652,-122.3843622,2 A,47.5922816,-122.3261897,2.817,I90
165,1224,47.6497451,-122.3580442,168 B,47.6466548,-122.3229034,1.6514,I90
166,1010,47.5059973,-122.1569666,5,47.4994564,-122.1953416,1.8494,I90
167,1846,47.5809779,-122.3847926,2 A,47.5922816,-122.3261897,2.8436,I90
168,1504,47.6525624,-122.3550756,nan,47.6553933,-122.3224726,1.5317,I90
169,1022,47.5374603,-122.3615202,161,47.5516486,-122.3170888,2.295,I90
