,Longitude,Latitude,name,Coord,County
0,-122.3298055,48.3937602975452,24 Hour Express Fuel,"48.3937602975452,-122.3298055",Skagit County
1,-120.916225,47.1917122975452,76,"47.1917122975452,-120.916225",Kittitas County
2,-122.3575768,47.2387038975452,76,"47.2387038975452,-122.3575768",Pierce County
3,-122.2913239,48.4352268975452,76,"48.4352268975452,-122.2913239",Skagit County
4,-120.014523,47.8396080975452,76,"47.8396080975452,-120.014523",Chelan County
5,-122.0973429,47.1395415975452,76,"47.1395415975452,-122.0973429",Pierce County
6,-122.5046745,47.2347702975452,76,"47.2347702975452,-122.5046745",Pierce County
7,-122.0365967,47.5442952975452,76,"47.5442952975452,-122.0365967",King County
8,-122.3241049,47.6060395975452,76,"47.6060395975452,-122.3241049",King County
9,-122.1148925,47.6716835975452,76,"47.6716835975452,-122.1148925",King County
10,-122.2998584,47.9224274975452,76,"47.9224274975452,-122.2998584",Snohomish County
11,-122.3739625,48.2412269975452,76,"48.2412269975452,-122.3739625",Snohomish County
12,-122.3318182,48.3405951975452,76,"48.3405951975452,-122.3318182",Skagit County
13,-122.3410856,48.3408742975452,76,"48.3408742975452,-122.3410856",Skagit County
14,-119.3490955,46.2875508975452,76,"46.2875508975452,-119.3490955",Benton County
15,-119.8600033,47.0829085975452,76,"47.0829085975452,-119.8600033",Grant County
16,-122.957653,46.7012351975452,76,"46.7012351975452,-122.957653",Centralia
17,-123.0998193,47.2130806975452,76,"47.2130806975452,-123.0998193",Shelton
18,-122.3223483,48.9203725975452,76,"48.9203725975452,-122.3223483",Whatcom County
19,-122.4602115,48.7567705975452,76,"48.7567705975452,-122.4602115",Whatcom County
20,-122.4570005,48.7732270975452,76,"48.7732270975452,-122.4570005",Whatcom County
21,-122.502472,48.7173990975452,76,"48.7173990975452,-122.502472",Whatcom County
22,-122.4858024,48.7646144975452,76,"48.7646144975452,-122.4858024",Whatcom County
23,-122.3203029,47.6251788975452,76,"47.6251788975452,-122.3203029",King County
24,-122.2142107,47.3155676975452,76,"47.3155676975452,-122.2142107",King County
25,-122.2286604,47.2938204975452,76,"47.2938204975452,-122.2286604",King County
26,-122.1077834,48.0029776975452,76,"48.0029776975452,-122.1077834",Snohomish County
27,-122.3041808,47.6436760975452,76,"47.6436760975452,-122.3041808",King County
28,-122.1256246,47.8341683975452,76,"47.8341683975452,-122.1256246",Snohomish County
29,-122.3629663,47.7910271975452,76,"47.7910271975452,-122.3629663",Snohomish County
30,-120.303316,47.4111952975452,76,"47.4111952975452,-120.303316",Chelan County
31,-120.8052204,45.8260948975452,76,"45.8260948975452,-120.8052204",Klickitat County
32,-122.8791994,46.5475775975452,76,"46.5475775975452,-122.8791994",Lewis County
33,-122.8853267,46.5844371975452,76,"46.5844371975452,-122.8853267",Lewis County
34,-122.3009198,46.8879567975452,76,"46.8879567975452,-122.3009198",Pierce County
35,-120.2888516,47.4055262975452,76,"47.4055262975452,-120.2888516",Douglas County
36,-120.2276378,47.6255786975452,76,"47.6255786975452,-120.2276378",Orondo
37,-121.9776053,47.8615956975452,76,"47.8615956975452,-121.9776053",Snohomish County
38,-122.2938197,47.1180105975452,76,"47.1180105975452,-122.2938197",Pierce County
39,-122.039416,47.1585153975452,76,"47.1585153975452,-122.039416",Buckley
40,-122.1848508,47.1774151975452,76,"47.1774151975452,-122.1848508",Pierce County
41,-122.258855,47.1453002975452,76,"47.1453002975452,-122.258855",Pierce County
42,-122.4841219,47.1638282975452,76,"47.1638282975452,-122.4841219",Pierce County
43,-122.3565415,47.2433837975452,76,"47.2433837975452,-122.3565415",Pierce County
44,-122.4153676,47.2419124975452,76,"47.2419124975452,-122.4153676",Pierce County
45,-122.6257477,47.0938385975452,76,"47.0938385975452,-122.6257477",Pierce County
46,-122.5255984,47.1385048975452,76,"47.1385048975452,-122.5255984",Pierce County
47,-122.1555212,47.2752862975452,76,"47.2752862975452,-122.1555212",King County
48,-122.1658606,47.3872546975452,76,"47.3872546975452,-122.1658606",King County
49,-122.1017014,47.4624242975452,76,"47.4624242975452,-122.1017014",King County
50,-122.2043609,47.4624782975452,76,"47.4624782975452,-122.2043609",King County
51,-122.2535219,47.4693727975452,76,"47.4693727975452,-122.2535219",King County
52,-122.5164306,47.2714384975452,76,"47.2714384975452,-122.5164306",Pierce County
53,-122.5780979,47.3087103975452,76,"47.3087103975452,-122.5780979",Pierce County
54,-122.5880995,47.3227836975452,76,"47.3227836975452,-122.5880995",Pierce County
55,-123.0207959,47.0794798975452,76,"47.0794798975452,-123.0207959",Thurston County
56,-123.0940068,47.1425696975452,76,"47.1425696975452,-123.0940068",Mason County
57,-122.1370505,47.5776842975452,76,"47.5776842975452,-122.1370505",King County
58,-122.2758751,47.5462426975452,76,"47.5462426975452,-122.2758751",King County
59,-122.3322502,47.7084322975452,76,"47.7084322975452,-122.3322502",King County
60,-122.3451868,47.7490672975452,76,"47.7490672975452,-122.3451868",King County
61,-122.6265391,47.5416129975452,76,"47.5416129975452,-122.6265391",Kitsap County
62,-122.0116555,47.8490120975452,76,"47.8490120975452,-122.0116555",Snohomish County
63,-122.118836,47.8472637975452,76,"47.8472637975452,-122.118836",Snohomish County
64,-122.3646583,47.7648821975452,76,"47.7648821975452,-122.3646583",King County
65,-122.03764,47.9859769975452,76,"47.9859769975452,-122.03764",Machias
66,-122.186268,48.0525207975452,76,"48.0525207975452,-122.186268",Snohomish County
67,-122.3653418,48.4302542975452,76,"48.4302542975452,-122.3653418",Skagit County
68,-122.2218235,47.3230588975452,76',"47.3230588975452,-122.2218235",King County
