,Longitude,Latitude,GEOID,COUNTY,POPULATION,BUILDVALUE,AGRIVALUE,AREA,RISK_SCORE,RISK_RATNG,INTPTLAT,INTPTLONG,zipcode
0,-122.3298055,48.3937602975452,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
1,-122.3653418,48.4302542975452,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
2,-122.362159,48.4275483975452,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
3,-122.3658507,48.4300673975452,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
4,-122.32859965,48.3986181,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
5,-122.345898040643,48.4214447499173,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
6,-122.33225565,48.4001932,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0
7,-120.916225,47.1917122975452,53037975103.0,,,,,,,,,,
8,-120.9407675,47.1949619975452,53037975103.0,,,,,,,,,,
9,-120.9353024,47.1921707975452,53037975103.0,,,,,,,,,,
10,-120.941584,47.1950400975452,53037975103.0,,,,,,,,,,
11,-120.9207821,47.1929132975452,53037975103.0,,,,,,,,,,
12,-122.3575768,47.2387038975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
13,-122.3565415,47.2433837975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
14,-122.3578584,47.2392200975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
15,-122.3705969,47.2428051975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
16,-122.3483514,47.2424328975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
17,-122.3714251,47.2428675975452,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
18,-122.385071824969,47.2452780996867,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
19,-122.382594650035,47.2428958499995,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
20,-122.384587846554,47.2449433686927,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
21,-122.38513955,47.2434319,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0
22,-122.2913239,48.4352268975452,53057952304.0,,,,,,,,,,
23,-120.014523,47.8396080975452,53007960302.0,,,,,,,,,,
24,-120.004349,47.8398120975452,53007960302.0,,,,,,,,,,
25,-120.014432,47.8400550975452,53007960302.0,,,,,,,,,,
26,-122.0973429,47.1395415975452,53053070204.0,Pierce,3598.0,173495000.0,277333.06606652244,1.998821868554,26.6108745155548,Relatively High,47.1424677,-122.1276898,98391.0
27,-122.5046745,47.2347702975452,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0
28,-122.504801998507,47.2068323999171,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0
29,-122.484224550986,47.2315323737237,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0
30,-122.502883,47.23409135,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0
31,-122.4937579,47.23213285,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0
32,-122.0365967,47.5442952975452,53033032220.0,,,,,,,,,,
33,-122.019706660226,47.540241300576,53033032220.0,,,,,,,,,,
34,-122.3241049,47.6060395975452,53033008500.0,King,4341.0,1087730000.0,0.0,0.183133584028,41.01693720339456,Very High,47.6049717,-122.3249555,98104.0
35,-122.1148925,47.6716835975452,53033032331.0,,,,,,,,,,
36,-122.126916387591,47.6752007333536,53033032331.0,,,,,,,,,,
37,-122.2998584,47.9224274975452,53061041301.0,Snohomish,5117.0,673176000.0,6448.103390391148,1.749941291558001,23.57669539323997,Relatively Moderate,47.9331011,-122.3015587,98275.0
38,-122.3739625,48.2412269975452,53061053301.0,Snohomish,6273.0,740438000.0,8267697.286107792,9.524663365049992,54.7342310960166,Very High,48.2560314,-122.3660164,98292.0
