Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-000011,"$2,500",6/19/2014,BEV,Nissan LEAF SV,2013,6/18/2014,Leased,01581,Worcester
M-000013,"$1,500",6/20/2014,PHEV,Ford Fusion Energi,2014,6/19/2014,Leased,01826,Middlesex
M-000014,"$2,500",6/20/2014,PHEV+,Chevrolet Volt,2014,6/20/2014,Leased,01915,Essex
M-000015,"$1,500",6/20/2014,PHEV,Ford C-MAX Energi,2014,6/18/2014,Purchased,01985,Essex
M-000016,"$2,500",6/21/2014,BEV,Nissan LEAF S,2013,6/21/2014,Purchased,01757,Worcester
M-000017,"$2,500",6/23/2014,BEV,Nissan LEAF SV,2013,6/23/2014,Leased,01373,Franklin
M-000079,"$2,500",6/23/2014,BEV,Smart Electric Fortwo Coupe,2015,6/23/2014,Purchased,01902,Essex
M-000080,"$2,500",6/24/2014,PHEV+,Chevrolet Volt,2014,6/19/2014,Purchased,01864,Middlesex
M-000081,"$2,500",6/24/2014,BEV,Smart Electric Fortwo Coupe,2014,6/24/2014,Leased,01450,Middlesex
M-000082,"$2,500",6/24/2014,BEV,Smart Electric Fortwo Cabriolet,2014,6/23/2014,Leased,02215,Suffolk
M-000083,"$1,500",6/24/2014,PHEV,Ford Fusion Energi,2014,6/20/2014,Purchased,01570,Worcester
M-000084,"$2,500",6/24/2014,BEV,BMW i3 REx,2014,6/24/2014,Purchased,01915,Essex
M-000085,"$2,500",6/24/2014,BEV,Tesla Model S - 85 kWh,2014,6/23/2014,Purchased,02038,Norfolk
M-000086,"$2,500",6/24/2014,BEV,Nissan LEAF S,2014,6/24/2014,Leased,01845,Essex
M-000087,"$2,500",6/25/2014,BEV,Tesla Model S - 85 kWh,2014,6/25/2014,Purchased,02066,Plymouth
M-000088,"$1,500",6/25/2014,PHEV,Ford C-MAX Energi,2014,6/25/2014,Purchased,01062,Hampshire
M-000089,"$2,500",6/25/2014,BEV,Nissan LEAF SL,2013,6/21/2014,Purchased,01851,Middlesex
M-000090,"$2,500",6/25/2014,BEV,Smart Electric Fortwo Coupe,2014,6/25/2014,Leased,01720,Middlesex
M-000091,"$2,500",6/25/2014,BEV,Smart Electric Fortwo Coupe,2014,6/23/2014,Leased,01821,Middlesex
M-000092,"$1,500",6/26/2014,PHEV,Ford Fusion Energi,2014,6/25/2014,Purchased,01569,Worcester
M-000093,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Coupe,2014,6/26/2014,Purchased,02467,Norfolk
M-000095,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Cabriolet,2014,6/22/2014,Leased,01534,Worcester
M-000096,"$2,500",6/26/2014,BEV,Nissan LEAF S,2014,6/26/2014,Purchased,01720,Middlesex
M-000097,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Coupe,2014,6/20/2014,Leased,02535,Dukes
M-000098,"$2,500",6/26/2014,BEV,Nissan LEAF SV,2013,6/26/2014,Leased,01033,Hampshire
M-000099,"$2,500",6/27/2014,BEV,Nissan LEAF SL,2013,6/26/2014,Leased,01062,Hampshire
M-000100,"$2,500",6/28/2014,PHEV+,Chevrolet Volt,2014,6/23/2014,Leased,01721,Middlesex
M-000101,"$2,500",6/28/2014,PHEV+,Chevrolet Volt,2014,6/28/2014,Leased,02467,Norfolk
M-000102,"$2,500",6/28/2014,BEV,Ford Focus Electric,2014,6/28/2014,Purchased,02056,Norfolk
M-000103,"$2,500",6/29/2014,BEV,Nissan LEAF SL,2014,6/26/2014,Leased,01545,Worcester
M-000104,"$2,500",6/29/2014,BEV,Honda Fit EV,2014,6/28/2014,Leased,01030,Hampden
M-000105,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2014,6/21/2014,Leased,01226,Berkshire
M-000106,"$2,500",6/30/2014,BEV,Nissan LEAF SV,2014,6/21/2014,Purchased,02130,Suffolk
M-000107,"$2,500",6/30/2014,BEV,BMW i3 REx,2014,6/28/2014,Purchased,02067,Norfolk
M-000108,"$2,500",6/30/2014,BEV,Tesla Model S - 60 kWh,2014,6/27/2014,Purchased,01742,Middlesex
M-000109,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2013,6/30/2014,Purchased,01440,Worcester
M-000110,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2014,6/29/2014,Purchased,02717,Bristol
M-000111,"$2,500",6/30/2014,BEV,Nissan LEAF SV,2014,6/30/2014,Purchased,02537,Barnstable
M-000113,"$2,500",7/1/2014,BEV,Tesla Model S - 85 kWh,2014,6/26/2014,Purchased,01876,Middlesex
M-000114,"$1,500",7/1/2014,PHEV,Ford Fusion Energi,2014,6/19/2014,Purchased,01460,Middlesex
M-000116,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Purchased,01545,Worcester
M-000117,"$2,500",7/2/2014,BEV,BMW i3 REx,2014,6/25/2014,Purchased,01460,Middlesex
M-000178,"$2,500",7/2/2014,BEV,Tesla Model S - 60 kWh,2014,7/1/2014,Purchased,01503,Worcester
M-000179,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Purchased,01938,Essex
M-000180,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/22/2014,Purchased,01748,Middlesex
M-000181,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/27/2014,Purchased,01201,Berkshire
M-000182,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/23/2014,Purchased,02760,Bristol
M-000184,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/25/2014,Purchased,02458,Middlesex
M-000185,"$1,500",7/3/2014,PHEV,Ford Fusion Energi,2014,6/30/2014,Purchased,02138,Middlesex
M-000186,"$2,500",7/4/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Leased,01983,Essex
M-000187,"$2,500",7/4/2014,BEV,Tesla Model S - 85 kWh,2014,6/28/2014,Purchased,02043,Plymouth
M-000188,"$2,500",7/4/2014,BEV,Nissan LEAF SV,2013,6/30/2014,Leased,02703,Bristol
M-000189,"$2,500",7/5/2014,BEV,Nissan LEAF SL,2013,6/30/2014,Leased,01880,Middlesex
M-000190,"$2,500",7/7/2014,BEV,BMW i3 REx,2014,7/7/2014,Purchased,02421,Middlesex
M-000192,"$2,500",7/7/2014,BEV,BMW i3,2014,7/7/2014,Purchased,01721,Middlesex
M-000193,"$2,500",7/8/2014,BEV,Smart Electric Fortwo Coupe,2014,6/26/2014,Leased,02130,Suffolk
M-000194,"$2,500",7/8/2014,BEV,Nissan LEAF SV,2014,6/28/2014,Leased,01106,Hampden
M-000195,"$2,500",7/8/2014,BEV,Nissan LEAF SL,2013,6/28/2014,Leased,01748,Middlesex
M-000196,"$2,500",7/9/2014,BEV,Nissan LEAF S,2014,7/5/2014,Leased,01982,Essex
M-000197,"$2,500",7/9/2014,BEV,Nissan LEAF SL,2014,7/9/2014,Leased,01827,Middlesex
M-000198,"$2,500",7/9/2014,BEV,Nissan LEAF S,2014,7/4/2014,Leased,01720,Middlesex
M-000200,"$2,500",7/9/2014,BEV,Nissan LEAF S,2013,7/7/2014,Leased,01907,Essex
M-000201,"$2,500",7/9/2014,BEV,Smart Electric Fortwo Cabriolet,2014,7/9/2014,Leased,01864,Middlesex
M-000202,"$2,500",7/9/2014,BEV,BMW i3,2014,6/23/2014,Purchased,01985,Essex
M-000203,"$2,500",7/9/2014,BEV,Smart Electric Fortwo Coupe,2014,6/27/2014,Leased,02155,Middlesex
M-000204,"$2,500",7/10/2014,PHEV+,Chevrolet Volt,2014,7/9/2014,Purchased,01354,Franklin
M-000205,"$2,500",7/10/2014,BEV,Nissan LEAF SV,2014,7/2/2014,Leased,01778,Middlesex
M-000206,"$2,500",7/10/2014,BEV,Nissan LEAF S,2014,6/27/2014,Leased,02130,Suffolk
M-000207,"$1,500",7/10/2014,PHEV,Ford C-MAX Energi,2014,7/5/2014,Leased,01001,Hampden
M-000208,"$2,500",7/11/2014,BEV,Nissan LEAF S,2013,7/9/2014,Leased,01748,Middlesex
M-000209,"$2,500",7/11/2014,BEV,Smart Electric Fortwo Coupe,2014,6/30/2014,Leased,01950,Essex
M-000210,"$2,500",7/11/2014,BEV,Nissan LEAF SL,2014,6/30/2014,Leased,01451,Worcester
M-000211,"$2,500",7/12/2014,PHEV+,Chevrolet Volt,2014,7/7/2014,Purchased,01776,Middlesex
M-000212,"$2,500",7/12/2014,BEV,Smart Electric Fortwo Coupe,2014,7/5/2014,Purchased,01970,Essex
M-000213,"$2,500",7/13/2014,BEV,Nissan LEAF SL,2013,6/22/2014,Purchased,01921,Essex
M-000214,"$2,500",7/13/2014,PHEV+,Chevrolet Volt,2014,7/7/2014,Purchased,01832,Essex
M-000215,"$1,500",7/13/2014,PHEV,Ford Fusion Energi,2013,6/27/2014,Purchased,01040,Hampden
M-000216,"$2,500",7/13/2014,BEV,Nissan LEAF S,2013,7/8/2014,Purchased,01960,Essex
M-000218,"$2,500",7/13/2014,BEV,Smart Electric Fortwo Coupe,2014,7/13/2014,Leased,01702,Middlesex
M-000219,"$2,500",7/14/2014,BEV,BMW i3,2014,6/20/2014,Purchased,02053,Norfolk
M-000220,"$1,500",7/14/2014,PHEV,Ford Fusion Energi,2014,7/3/2014,Leased,01073,Hampshire
M-000221,"$2,500",7/14/2014,BEV,Nissan LEAF SV,2014,7/14/2014,Purchased,02472,Middlesex
M-000222,"$2,500",7/14/2014,BEV,Nissan LEAF SL,2013,7/3/2014,Purchased,02180,Middlesex
M-000223,"$1,500",7/14/2014,PHEV,Ford Fusion Energi,2014,7/14/2014,Purchased,02038,Norfolk
M-000224,"$2,500",7/15/2014,BEV,Nissan LEAF SV,2014,7/8/2014,Leased,02720,Bristol
M-000225,"$1,500",7/15/2014,PHEV,Ford C-MAX Energi,2014,7/2/2014,Purchased,01776,Middlesex
M-000226,"$2,500",7/15/2014,BEV,Smart Electric Fortwo Coupe,2014,7/14/2014,Leased,02478,Middlesex
M-000227,"$2,500",7/15/2014,PHEV+,Chevrolet Volt,2014,7/2/2014,Purchased,01810,Essex
M-000228,"$2,500",7/16/2014,BEV,Honda Fit EV,2014,7/14/2014,Leased,02067,Norfolk
M-000229,"$2,500",7/16/2014,BEV,Nissan LEAF SL,2013,7/14/2014,Purchased,01510,Worcester
M-000230,"$2,500",7/16/2014,PHEV+,Chevrolet Volt,2014,7/7/2014,Purchased,01460,Middlesex
M-000231,"$1,500",7/16/2014,PHEV,Ford C-MAX Energi,2014,7/8/2014,Purchased,01760,Middlesex
M-000232,"$1,500",7/17/2014,PHEV,Ford C-MAX Energi,2014,7/17/2014,Leased,01451,Worcester
M-000233,"$2,500",7/17/2014,BEV,Nissan LEAF SV,2014,7/12/2014,Purchased,02465,Middlesex
M-000234,"$2,500",7/17/2014,BEV,Tesla Model S - 85 kWh,2014,6/23/2014,Purchased,02420,Middlesex
M-000235,"$1,500",7/18/2014,PHEV,Ford Fusion Energi,2014,7/17/2014,Leased,01970,Essex
M-000237,"$1,500",7/19/2014,PHEV,Ford Fusion Energi,2014,7/8/2014,Leased,01030,Hampden
M-000238,"$2,500",7/19/2014,BEV,Nissan LEAF S,2014,7/19/2014,Leased,01880,Middlesex
M-000239,"$2,500",7/20/2014,PHEV+,Chevrolet Volt,2014,7/18/2014,Purchased,01603,Worcester
M-000240,"$2,500",7/20/2014,PHEV+,Chevrolet Volt,2014,7/19/2014,Purchased,01748,Middlesex
M-000241,"$2,500",7/20/2014,BEV,Nissan LEAF SL,2014,7/18/2014,Leased,02461,Middlesex
M-000242,"$2,500",7/21/2014,BEV,BMW i3 REx,2014,6/26/2014,Purchased,02066,Plymouth
M-000243,"$2,500",7/21/2014,BEV,Nissan LEAF SL,2013,7/21/2014,Leased,01002,Hampshire
M-000244,"$2,500",7/21/2014,BEV,Nissan LEAF SV,2014,7/18/2014,Leased,02468,Middlesex
M-000245,"$2,500",7/21/2014,BEV,Nissan LEAF SL,2014,7/19/2014,Purchased,01453,Worcester
M-000246,"$2,500",7/21/2014,BEV,Nissan LEAF S,2015,7/19/2014,Purchased,01890,Middlesex
M-000248,"$2,500",7/22/2014,PHEV+,Chevrolet Volt,2014,7/22/2014,Leased,01002,Hampshire
M-000249,"$1,500",7/23/2014,BEV,Toyota Prius Plug-in Hybrid,2014,7/11/2014,Leased,02472,Middlesex
M-000250,"$2,500",7/23/2014,BEV,Nissan LEAF SL,2013,7/22/2014,Leased,02364,Plymouth
M-000251,"$2,500",7/23/2014,BEV,Honda Fit EV,2014,7/22/2014,Leased,01821,Middlesex
M-000252,"$2,500",7/23/2014,BEV,Nissan LEAF S,2014,7/17/2014,Leased,02472,Middlesex
M-000253,"$2,500",7/23/2014,BEV,Smart Electric Fortwo Cabriolet,2014,7/11/2014,Leased,02745,Bristol
M-000254,"$2,500",7/24/2014,BEV,Nissan LEAF S,2015,7/17/2014,Purchased,01966,Essex
M-000256,"$2,500",7/24/2014,PHEV+,Chevrolet Volt,2014,7/22/2014,Purchased,01850,Middlesex
M-000257,"$2,500",7/24/2014,PHEV+,Chevrolet Volt,2014,7/7/2014,Purchased,01056,Hampden
M-000258,"$2,500",7/24/2014,BEV,Smart Electric Fortwo Coupe,2014,7/21/2014,Leased,02180,Middlesex
M-000259,"$2,500",7/26/2014,BEV,Nissan LEAF SL,2013,7/17/2014,Leased,02138,Middlesex
M-000260,"$2,500",7/26/2014,BEV,Smart Electric Fortwo Coupe,2014,7/21/2014,Leased,02184,Norfolk
M-000261,"$2,500",7/26/2014,BEV,Nissan LEAF SV,2014,7/19/2014,Leased,02458,Middlesex
M-000263,"$2,500",7/27/2014,BEV,Nissan LEAF S,2014,7/27/2014,Leased,01072,Franklin
M-000264,"$2,500",7/27/2014,PHEV+,Chevrolet Volt,2014,7/16/2014,Leased,02467,Middlesex
M-000265,"$2,500",7/28/2014,BEV,BMW i3 REx,2014,7/25/2014,Purchased,01609,Worcester
M-000266,"$2,500",7/28/2014,BEV,Nissan LEAF S,2014,7/25/2014,Leased,01109,Hampden
M-000267,"$2,500",7/28/2014,PHEV+,Chevrolet Volt,2014,7/22/2014,Purchased,02492,Norfolk
M-000268,"$2,500",7/28/2014,BEV,Smart Electric Fortwo Cabriolet,2014,7/28/2014,Leased,01760,Middlesex
M-000269,"$2,500",7/28/2014,BEV,Nissan LEAF S,2014,7/28/2014,Purchased,02568,Dukes
M-000270,"$2,500",7/28/2014,BEV,Ford Focus Electric,2014,7/28/2014,Purchased,01020,Hampden
M-000271,"$2,500",7/28/2014,BEV,BMW i3 REx,2014,7/28/2014,Purchased,01451,Worcester
M-000272,"$2,500",7/28/2014,PHEV+,Chevrolet Volt,2014,7/13/2014,Purchased,01057,Hampden
M-000273,"$1,500",7/28/2014,PHEV,Ford Fusion Energi,2014,7/22/2014,Leased,01923,Essex
M-000274,"$2,500",7/28/2014,PHEV+,Cadillac ELR,2014,7/26/2014,Leased,01085,Hampden
M-000275,"$2,500",7/29/2014,BEV,Smart Electric Fortwo Coupe,2014,7/26/2014,Leased,01970,Essex
M-000276,"$2,500",7/30/2014,PHEV+,Chevrolet Volt,2014,7/26/2014,Purchased,02472,Middlesex
M-000277,"$2,500",7/30/2014,BEV,Nissan LEAF S,2014,7/29/2014,Purchased,02081,Norfolk
M-000278,"$2,500",7/30/2014,BEV,Nissan LEAF S,2014,7/27/2014,Leased,02170,Norfolk
M-000279,"$2,500",7/30/2014,PHEV+,Chevrolet Volt,2014,7/18/2014,Purchased,02062,Norfolk
M-000280,"$2,500",7/30/2014,PHEV+,Cadillac ELR,2014,7/28/2014,Purchased,01773,Middlesex
M-000281,"$2,500",7/31/2014,BEV,Tesla Model S - 85 kWh,2014,7/28/2014,Purchased,02481,Norfolk
M-000282,"$1,500",7/31/2014,PHEV,Ford Fusion Energi,2014,7/30/2014,Leased,02478,Middlesex
M-000284,"$2,500",7/31/2014,PHEV+,Chevrolet Volt,2014,7/30/2014,Leased,02144,Middlesex
M-000285,"$2,500",7/31/2014,PHEV+,Chevrolet Volt,2014,7/31/2014,Purchased,02462,Middlesex
M-000286,"$2,500",8/1/2014,BEV,BMW i3 REx,2014,7/25/2014,Purchased,02093,Norfolk
M-000287,"$2,500",8/1/2014,BEV,Nissan LEAF S,2014,7/31/2014,Leased,01027,Hampshire
M-000288,"$2,500",8/1/2014,BEV,Nissan LEAF SL,2014,7/10/2014,Leased,01060,Hampshire
M-000289,"$2,500",8/1/2014,PHEV+,Chevrolet Volt,2014,7/31/2014,Leased,01701,Middlesex
M-000290,"$1,500",8/2/2014,PHEV,Ford C-MAX Energi,2014,6/25/2014,Purchased,02360,Plymouth
M-000291,"$2,500",8/2/2014,BEV,Nissan LEAF S,2014,7/23/2014,Leased,02748,Bristol
M-000292,"$2,500",8/2/2014,PHEV+,Chevrolet Volt,2014,7/30/2014,Purchased,02478,Middlesex
M-000293,"$2,500",8/2/2014,BEV,Nissan LEAF SV,2015,8/2/2014,Purchased,01503,Worcester
M-000294,"$2,500",8/2/2014,BEV,Tesla Model S - 85 kWh,2014,7/25/2014,Purchased,01844,Essex
M-000295,"$2,500",8/3/2014,BEV,Ford Focus Electric,2014,7/31/2014,Purchased,01035,Hampshire
M-000296,"$2,500",8/3/2014,BEV,Nissan LEAF SV,2015,8/1/2014,Leased,02072,Norfolk
M-000297,"$2,500",8/4/2014,BEV,Nissan LEAF S,2014,8/4/2014,Leased,01002,Hampshire
M-000298,"$2,500",8/4/2014,BEV,Smart Electric Fortwo Coupe,2014,8/4/2014,Leased,01504,Worcester
M-000299,"$1,500",8/4/2014,PHEV,Ford Fusion Energi,2014,7/26/2014,Leased,01754,Middlesex
M-000300,"$1,500",8/4/2014,PHEV,Ford Fusion Energi,2014,8/4/2014,Leased,01776,Middlesex
M-000301,"$2,500",8/5/2014,BEV,Nissan LEAF SL,2015,7/31/2014,Purchased,02347,Plymouth
M-000302,"$2,500",8/5/2014,BEV,BMW i3,2014,7/29/2014,Purchased,02492,Norfolk
M-000303,"$2,500",8/5/2014,BEV,Nissan LEAF SL,2014,7/29/2014,Leased,01721,Middlesex
M-000304,"$2,500",8/6/2014,BEV,Nissan LEAF S,2013,8/5/2014,Leased,01742,Middlesex
M-000305,"$1,500",8/6/2014,PHEV,Ford C-MAX Energi,2014,7/31/2014,Purchased,01773,Middlesex
M-000306,"$2,500",8/6/2014,BEV,Smart Electric Fortwo Cabriolet,2014,7/31/2014,Leased,01970,Essex
M-000307,"$1,500",8/6/2014,PHEV,Ford Fusion Energi,2014,8/6/2014,Leased,02494,Norfolk
M-000308,"$2,500",8/7/2014,BEV,Tesla Model S - 85 kWh,2014,7/30/2014,Purchased,02649,Barnstable
M-000309,"$2,500",8/9/2014,BEV,Nissan LEAF SV,2013,8/9/2014,Leased,02056,Norfolk
M-000310,"$2,500",8/9/2014,BEV,BMW i3 REx,2014,8/6/2014,Purchased,02462,Middlesex
M-000311,"$2,500",8/10/2014,PHEV+,Chevrolet Volt,2014,8/2/2014,Purchased,01451,Worcester
M-000312,"$2,500",8/11/2014,BEV,Smart Electric Fortwo Cabriolet,2014,7/31/2014,Leased,02114,Suffolk
M-000313,"$2,500",8/11/2014,BEV,Smart Electric Fortwo Coupe,2014,7/21/2014,Leased,02116,Suffolk
M-000314,"$2,500",8/11/2014,BEV,Ford Focus Electric,2014,8/7/2014,Purchased,01824,Middlesex
M-000316,"$2,500",8/12/2014,BEV,Nissan LEAF SV,2014,7/30/2014,Leased,01827,Middlesex
M-000317,"$2,500",8/12/2014,BEV,Nissan LEAF SL,2015,8/9/2014,Purchased,01776,Middlesex
M-000318,"$2,500",8/12/2014,BEV,Smart Electric Fortwo Coupe,2014,7/31/2014,Leased,02468,Middlesex
M-000319,"$1,500",8/12/2014,BEV,Toyota Prius Plug-in Hybrid,2014,7/31/2014,Purchased,01949,Essex
M-000320,"$2,500",8/12/2014,BEV,BMW i3 REx,2014,6/28/2014,Purchased,01451,Worcester
M-000321,"$2,500",8/12/2014,BEV,Mitsubishi i-MiEV,2014,7/5/2014,Purchased,02452,Middlesex
M-000322,"$2,500",8/13/2014,BEV,BMW i3 REx,2014,8/12/2014,Purchased,02360,Plymouth
M-000323,"$2,500",8/15/2014,BEV,Nissan LEAF SV,2014,8/12/2014,Purchased,01507,Worcester
M-000324,"$1,500",8/15/2014,PHEV,Ford Fusion Energi,2014,8/7/2014,Purchased,01118,Hampden
M-000325,"$2,500",8/15/2014,BEV,Nissan LEAF SV,2014,8/15/2014,Leased,01027,Hampshire
M-000327,"$2,500",8/15/2014,BEV,BMW i3 REx,2014,7/31/2014,Purchased,01824,Middlesex
M-000328,"$2,500",8/16/2014,PHEV+,Chevrolet Volt,2014,8/14/2014,Leased,01267,Berkshire
M-000329,"$2,500",8/16/2014,PHEV+,Chevrolet Volt,2014,7/26/2014,Purchased,01060,Hampshire
M-000330,"$1,500",8/16/2014,PHEV,Ford Fusion Energi,2014,8/14/2014,Purchased,01907,Essex
M-000331,"$2,500",8/16/2014,PHEV+,Chevrolet Volt,2014,8/7/2014,Purchased,02332,Plymouth
M-000333,"$2,500",8/18/2014,PHEV+,Chevrolet Volt,2013,8/3/2014,Purchased,01062,Hampshire
M-000334,"$2,500",8/18/2014,BEV,Nissan LEAF S,2015,8/9/2014,Purchased,02171,Norfolk
M-000335,"$2,500",8/18/2014,BEV,Nissan LEAF SV,2014,6/18/2014,Leased,02631,Barnstable
M-000336,"$2,500",8/18/2014,BEV,Smart Electric Fortwo Coupe,2014,8/14/2014,Leased,02539,Dukes
M-000337,"$2,500",8/19/2014,BEV,Mitsubishi i-MiEV,2014,6/22/2014,Purchased,02093,Norfolk
M-000338,"$2,500",8/19/2014,BEV,Nissan LEAF S,2015,8/13/2014,Leased,02717,Bristol
M-000339,"$2,500",8/19/2014,BEV,Nissan LEAF SL,2013,6/18/2014,Leased,01034,Hampden
M-000340,"$2,500",8/19/2014,BEV,BMW i3 REx,2014,8/14/2014,Purchased,01002,Hampshire
M-000341,"$2,500",8/19/2014,BEV,Nissan LEAF S,2013,7/22/2014,Leased,02062,Norfolk
M-000342,"$1,500",8/19/2014,BEV,Toyota Prius Plug-in Hybrid,2014,8/4/2014,Purchased,01095,Hampden
M-000343,"$2,500",8/20/2014,BEV,Tesla Model S - 60 kWh,2014,8/14/2014,Purchased,01581,Worcester
M-000344,"$2,500",8/20/2014,BEV,Smart Electric Fortwo Coupe,2014,8/16/2014,Leased,02462,Middlesex
M-000345,"$2,500",8/20/2014,BEV,Nissan LEAF SV,2015,8/14/2014,Leased,01542,Worcester
M-000347,"$2,500",8/21/2014,PHEV+,Chevrolet Volt,2014,8/15/2014,Purchased,02481,Norfolk
M-000348,"$2,500",8/21/2014,BEV,Nissan LEAF SV,2014,8/19/2014,Leased,01007,Hampshire
M-000349,"$2,500",8/21/2014,PHEV+,Chevrolet Volt,2014,8/18/2014,Purchased,01742,Middlesex
M-000350,"$2,500",8/21/2014,BEV,Nissan LEAF SV,2014,8/21/2014,Leased,01027,Hampshire
M-000351,"$2,500",8/21/2014,BEV,Nissan LEAF SV,2015,8/21/2014,Leased,01012,Hampshire
M-000352,"$1,500",8/21/2014,BEV,Toyota Prius Plug-in Hybrid,2013,8/6/2014,Purchased,02465,Middlesex
M-000353,"$2,500",8/22/2014,PHEV+,Chevrolet Volt,2014,8/14/2014,Purchased,01257,Berkshire
M-000354,"$2,500",8/22/2014,BEV,Nissan LEAF S,2014,8/21/2014,Leased,02190,Norfolk
M-000355,"$2,500",8/22/2014,PHEV+,Chevrolet Volt,2014,8/18/2014,Purchased,02128,Suffolk
M-000356,"$2,500",8/23/2014,BEV,BMW i3 REx,2014,8/19/2014,Purchased,01773,Middlesex
M-000357,"$2,500",8/23/2014,BEV,Nissan LEAF SV,2015,8/23/2014,Purchased,01844,Essex
M-000358,"$1,500",8/25/2014,PHEV,Ford C-MAX Energi,2014,7/8/2014,Purchased,01810,Essex
M-000359,"$2,500",8/25/2014,BEV,Nissan LEAF S,2014,8/25/2014,Purchased,01201,Berkshire
M-000360,"$2,500",8/25/2014,PHEV+,Chevrolet Volt,2014,6/29/2014,Purchased,02478,Middlesex
M-000361,"$2,500",8/26/2014,PHEV+,Chevrolet Volt,2015,8/22/2014,Purchased,02170,Norfolk
M-000362,"$2,500",8/27/2014,PHEV+,Chevrolet Volt,2014,8/14/2014,Purchased,01923,Essex
M-000363,"$2,500",8/27/2014,BEV,Smart Electric Fortwo Coupe,2014,8/27/2014,Leased,02472,Middlesex
M-000364,"$2,500",8/28/2014,BEV,Smart Electric Fortwo Coupe,2014,8/24/2014,Leased,01908,Essex
M-000365,"$2,500",8/28/2014,PHEV+,Chevrolet Volt,2015,8/27/2014,Leased,02421,Middlesex
M-000366,"$2,500",8/28/2014,BEV,Nissan LEAF SV,2014,8/28/2014,Leased,01096,Hampshire
M-000368,"$2,500",8/28/2014,PHEV+,Chevrolet Volt,2014,8/25/2014,Purchased,01754,Middlesex
M-000369,"$2,500",8/28/2014,BEV,Nissan LEAF S,2014,8/27/2014,Purchased,02468,Middlesex
M-000370,"$2,500",8/29/2014,BEV,BMW i3 REx,2014,8/6/2014,Purchased,01742,Middlesex
M-000372,"$2,500",8/30/2014,PHEV+,Chevrolet Volt,2014,7/24/2014,Purchased,01887,Middlesex
M-000373,"$1,500",8/30/2014,PHEV,Ford Fusion Energi,2014,8/6/2014,Leased,02054,Norfolk
M-000374,"$1,500",8/30/2014,PHEV,Ford Fusion Energi,2014,8/21/2014,Purchased,02492,Norfolk
M-000375,"$2,500",8/31/2014,PHEV+,Chevrolet Volt,2015,8/19/2014,Purchased,02420,Middlesex
M-000376,"$2,500",8/31/2014,BEV,Nissan LEAF SV,2015,8/31/2014,Purchased,01826,Middlesex
M-000377,"$2,500",9/1/2014,PHEV+,Chevrolet Volt,2014,8/26/2014,Purchased,02494,Norfolk
M-000378,"$1,500",9/1/2014,PHEV,Ford C-MAX Energi,2014,8/28/2014,Purchased,02030,Norfolk
M-000379,"$2,500",9/1/2014,PHEV+,Chevrolet Volt,2014,9/1/2014,Purchased,02461,Middlesex
M-000380,"$2,500",9/2/2014,BEV,Nissan LEAF S,2015,9/1/2014,Purchased,02169,Norfolk
M-000381,"$2,500",9/2/2014,BEV,Nissan LEAF SL,2014,8/28/2014,Purchased,02341,Plymouth
M-000382,"$2,500",9/2/2014,PHEV+,Chevrolet Volt,2014,8/31/2014,Purchased,01879,Middlesex
M-000383,"$2,500",9/2/2014,BEV,Nissan LEAF SL,2014,9/2/2014,Leased,01748,Middlesex
M-000384,"$2,500",9/2/2014,BEV,Ford Focus Electric,2014,7/3/2014,Purchased,01760,Middlesex
M-000385,"$2,500",9/2/2014,PHEV+,Chevrolet Volt,2014,8/16/2014,Purchased,01060,Hampshire
M-000386,"$2,500",9/3/2014,BEV,Ford Focus Electric,2014,8/31/2014,Leased,01833,Essex
M-000387,"$2,500",9/3/2014,PHEV+,Chevrolet Volt,2014,7/26/2014,Purchased,01030,Hampden
M-000388,"$1,500",9/3/2014,PHEV,Ford Fusion Energi,2013,7/9/2014,Purchased,01863,Middlesex
M-000389,"$2,500",9/3/2014,BEV,Nissan LEAF SV,2015,8/29/2014,Leased,01450,Middlesex
M-000390,"$2,500",9/4/2014,BEV,BMW i3,2014,9/4/2014,Purchased,02492,Norfolk
M-000391,"$1,500",9/5/2014,PHEV,Ford C-MAX Energi,2014,9/4/2014,Purchased,02564,Nantucket
M-000392,"$2,500",9/5/2014,BEV,Nissan LEAF S,2015,9/3/2014,Leased,02703,Bristol
M-000393,"$2,500",9/5/2014,PHEV+,Chevrolet Volt,2014,9/2/2014,Leased,01921,Essex
