Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-022044,"$1,500",4/12/2021,PHEV+,Chrysler Pacifica,2021,2/17/2021,Purchased,01506,Worcester
M-022045,"$1,500",4/13/2021,PHEV+,Chrysler Pacifica,2021,4/10/2021,Purchased,01420,Worcester
M-022046,"$1,500",4/13/2021,PHEV,Toyota Rav4 Prime,2021,3/31/2021,Purchased,02032,Norfolk
M-022047,"$2,500",4/13/2021,BEV,Hyundai Kona Electric,2020,4/12/2021,Leased,01001,Hampden
M-022048,"$2,500",4/13/2021,BEV,Chevrolet Bolt EV,2021,3/29/2021,Purchased,02144,Middlesex
M-022050,"$2,500",4/13/2021,BEV,Chevrolet Bolt EV,2021,4/12/2021,Leased,01535,Worcester
M-022052,"$2,500",4/13/2021,BEV,Chevrolet Bolt EV,2021,4/9/2021,Leased,01504,Worcester
M-022053,"$2,500",4/13/2021,BEV,Chevrolet Bolt EV,2021,4/13/2021,Leased,02184,Norfolk
M-022055,"$2,500",4/13/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/8/2021,Purchased,02067,Norfolk
M-022056,"$2,500",4/13/2021,BEV,Kia Niro EV,2020,3/12/2021,Purchased,02115,Suffolk
M-022057,"$2,500",4/14/2021,BEV,Volkswagen ID.4 1st Edition,2021,3/29/2021,Leased,02421,Middlesex
M-022058,"$1,500",4/14/2021,PHEV,Toyota Prius Prime,2021,4/11/2021,Purchased,02155,Middlesex
M-022059,"$1,500",4/14/2021,PHEV,Toyota Rav4 Prime,2021,4/3/2021,Purchased,01940,Essex
M-022060,"$1,500",4/14/2021,PHEV+,Chrysler Pacifica,2021,4/7/2021,Purchased,02155,Middlesex
M-022061,"$2,500",4/14/2021,BEV,Chevrolet Bolt EV,2021,4/12/2021,Leased,01760,Middlesex
M-022062,"$2,500",4/14/2021,BEV,Tesla Model Y,2021,3/25/2021,Purchased,02452,Middlesex
M-022063,"$2,500",4/14/2021,BEV,Tesla Model 3,2021,3/30/2021,Purchased,01060,Hampshire
M-022064,"$2,500",4/14/2021,BEV,Tesla Model Y,2021,3/25/2021,Purchased,02356,Bristol
M-022065,"$1,500",4/14/2021,PHEV,Toyota Prius Prime,2021,4/11/2021,Purchased,02140,Middlesex
M-022066,"$1,500",4/14/2021,PHEV,Toyota Rav4 Prime,2021,4/14/2021,Purchased,02474,Middlesex
M-022068,"$1,500",4/14/2021,PHEV,Toyota Prius Prime,2021,4/14/2021,Purchased,02118,Suffolk
M-022069,"$2,500",4/15/2021,BEV,Chevrolet Bolt EV,2021,4/9/2021,Leased,02131,Suffolk
M-022071,"$2,500",4/15/2021,BEV,Tesla Model Y,2021,2/1/2021,Purchased,02478,Middlesex
M-022072,"$2,500",4/15/2021,BEV,Tesla Model 3,2021,3/27/2021,Leased,02780,Bristol
M-022073,"$2,500",4/15/2021,BEV,Nissan LEAF SL Plus,2019,2/27/2021,Purchased,01519,Worcester
M-022074,"$2,500",4/15/2021,BEV,Hyundai Kona Electric,2020,4/3/2021,Purchased,01970,Essex
M-022075,"$1,500",4/15/2021,PHEV,Toyota Rav4 Prime,2021,1/21/2021,Purchased,02482,Norfolk
M-022076,"$1,500",4/15/2021,PHEV+,Chrysler Pacifica,2021,3/25/2021,Purchased,02458,Middlesex
M-022077,"$2,500",4/15/2021,BEV,Tesla Model Y,2021,3/5/2021,Purchased,01460,Middlesex
M-022078,"$2,500",4/15/2021,BEV,Tesla Model 3,2021,4/1/2021,Purchased,01845,Essex
M-022079,"$1,500",4/15/2021,PHEV,Toyota Prius Prime,2021,4/14/2021,Purchased,02645,Barnstable
M-022080,"$2,500",4/15/2021,BEV,Ford Mustang Mach-E,2021,3/29/2021,Purchased,01536,Worcester
M-022081,"$2,500",4/15/2021,BEV,Kia Niro EV,2020,4/12/2021,Leased,01821,Middlesex
M-022082,"$2,500",4/15/2021,BEV,Hyundai Kona Electric,2021,3/27/2021,Purchased,02446,Norfolk
M-022083,"$2,500",4/15/2021,BEV,Chevrolet Bolt EV,2021,4/1/2021,Purchased,01852,Middlesex
M-022084,"$2,500",4/15/2021,BEV,Tesla Model 3,2021,3/27/2021,Purchased,02670,Barnstable
M-022085,"$2,500",4/16/2021,BEV,Chevrolet Bolt EV,2021,4/9/2021,Leased,02476,Middlesex
M-022086,"$2,500",4/16/2021,BEV,Hyundai Ioniq Electric,2021,4/9/2021,Leased,02135,Suffolk
M-022088,"$1,500",4/16/2021,PHEV,Toyota Rav4 Prime,2021,3/26/2021,Purchased,02144,Middlesex
M-022089,"$1,500",4/16/2021,PHEV,Toyota Prius Prime,2021,3/22/2021,Purchased,01886,Middlesex
M-022090,"$1,500",4/16/2021,PHEV+,Chrysler Pacifica,2021,4/12/2021,Purchased,01773,Middlesex
M-022091,"$2,500",4/16/2021,BEV,Kia Niro EV,2020,4/12/2021,Purchased,01775,Middlesex
M-022092,"$1,500",4/16/2021,PHEV,Toyota Prius Prime,2021,3/29/2021,Purchased,01720,Middlesex
M-022093,"$2,500",4/16/2021,BEV,Nissan LEAF S,2021,4/14/2021,Leased,02124,Suffolk
M-022094,"$2,500",4/16/2021,BEV,Hyundai Kona Electric,2021,4/16/2021,Leased,02132,Suffolk
M-022095,"$1,500",4/17/2021,PHEV+,Chrysler Pacifica,2021,4/16/2021,Purchased,01886,Middlesex
M-022096,"$2,500",4/17/2021,BEV,Nissan LEAF S Plus,2021,4/7/2021,Purchased,01366,Worcester
M-022097,"$1,500",4/17/2021,PHEV,Toyota Rav4 Prime,2021,4/3/2021,Purchased,02134,Suffolk
M-022098,"$2,500",4/17/2021,BEV,Chevrolet Bolt EV,2020,3/15/2021,Leased,02459,Middlesex
M-022099,"$2,500",4/17/2021,BEV,MINI Cooper SE Hardtop 2 Door,2021,3/29/2021,Purchased,02726,Bristol
M-022100,"$2,500",4/17/2021,BEV,Tesla Model Y,2021,3/20/2021,Purchased,02115,Suffolk
M-022102,"$2,500",4/17/2021,BEV,Chevrolet Bolt EV,2020,3/22/2021,Purchased,01867,Middlesex
M-022103,"$2,500",4/17/2021,BEV,Tesla Model 3,2021,3/22/2021,Purchased,02176,Middlesex
M-022105,"$2,500",4/17/2021,BEV,Hyundai Kona Electric,2021,4/7/2021,Leased,01830,Essex
M-022106,"$1,500",4/17/2021,PHEV,Toyota Rav4 Prime,2021,4/13/2021,Purchased,02215,Suffolk
M-022107,"$1,500",4/17/2021,PHEV,Toyota Rav4 Prime,2021,3/26/2021,Purchased,01072,Franklin
M-022108,"$2,500",4/17/2021,BEV,Hyundai Kona Electric,2020,4/16/2021,Leased,02532,Barnstable
M-022109,"$1,500",4/18/2021,PHEV+,Chrysler Pacifica,2021,3/31/2021,Purchased,01938,Essex
M-022110,"$1,500",4/18/2021,PHEV+,Honda Clarity PHEV,2021,4/13/2021,Leased,02184,Norfolk
M-022111,"$2,500",4/18/2021,BEV,Nissan LEAF S,2021,4/17/2021,Leased,02038,Norfolk
M-022112,"$2,500",4/18/2021,BEV,Tesla Model Y,2021,3/29/2021,Purchased,02478,Middlesex
M-022113,"$2,500",4/18/2021,BEV,Kia Niro EV,2020,4/13/2021,Leased,01773,Middlesex
M-022114,"$1,500",4/18/2021,PHEV,Toyota Prius Prime,2021,4/14/2021,Purchased,02180,Middlesex
M-022115,"$2,500",4/18/2021,BEV,Nissan LEAF S Plus,2021,3/20/2021,Purchased,02451,Middlesex
M-022116,"$2,500",4/18/2021,BEV,Hyundai Kona Electric,2020,4/3/2021,Leased,02138,Middlesex
M-022117,"$1,500",4/18/2021,PHEV,Toyota Prius Prime,2021,3/29/2021,Purchased,02420,Middlesex
M-022118,"$2,500",4/19/2021,BEV,Tesla Model 3,2021,4/2/2021,Purchased,02747,Bristol
M-022119,"$1,500",4/19/2021,PHEV,Toyota Rav4 Prime,2021,3/12/2021,Purchased,01905,Essex
M-022120,"$2,500",4/19/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/15/2021,Leased,01852,Middlesex
M-022121,"$1,500",4/19/2021,PHEV,Toyota Rav4 Prime,2021,4/10/2021,Purchased,01267,Berkshire
M-022122,"$1,500",4/19/2021,PHEV,Toyota Rav4 Prime,2021,4/2/2021,Purchased,02061,Plymouth
M-022123,"$1,500",4/19/2021,PHEV,Toyota Prius Prime,2021,3/29/2021,Purchased,01930,Essex
M-022125,"$2,500",4/19/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/15/2021,Purchased,02642,Barnstable
M-022126,"$1,500",4/19/2021,PHEV,Toyota Rav4 Prime,2021,4/19/2021,Purchased,02739,Plymouth
M-022127,"$1,500",4/19/2021,PHEV,Toyota Rav4 Prime,2021,4/15/2021,Purchased,01301,Franklin
M-022128,"$1,500",4/19/2021,PHEV+,Honda Clarity PHEV,2021,4/13/2021,Purchased,01721,Middlesex
M-022129,"$2,500",4/19/2021,BEV,Tesla Model 3,2021,3/25/2021,Purchased,02451,Middlesex
M-022130,"$2,500",4/19/2021,BEV,Tesla Model Y,2021,4/7/2021,Purchased,02111,Suffolk
M-022131,"$1,500",4/20/2021,PHEV,Toyota Rav4 Prime,2021,2/22/2021,Purchased,01701,Middlesex
M-022132,"$1,500",4/20/2021,PHEV+,Honda Clarity PHEV,2021,4/8/2021,Purchased,02745,Bristol
M-022133,"$2,500",4/20/2021,BEV,Chevrolet Bolt EV,2021,4/17/2021,Leased,01821,Middlesex
M-022136,"$1,500",4/20/2021,PHEV+,Honda Clarity PHEV,2021,4/17/2021,Purchased,02446,Norfolk
M-022137,"$2,500",4/20/2021,BEV,Tesla Model Y,2021,1/28/2021,Purchased,02048,Bristol
M-022140,"$2,500",4/20/2021,BEV,Chevrolet Bolt EV,2021,4/20/2021,Purchased,02026,Norfolk
M-022141,"$2,500",4/20/2021,BEV,Hyundai Kona Electric,2021,4/20/2021,Leased,01801,Middlesex
M-022142,"$2,500",4/20/2021,BEV,Chevrolet Bolt EV,2021,4/15/2021,Purchased,01741,Middlesex
M-022143,"$1,500",4/20/2021,PHEV+,Honda Clarity PHEV,2021,4/20/2021,Purchased,01532,Worcester
M-022144,"$2,500",4/20/2021,BEV,Chevrolet Bolt EV,2021,4/15/2021,Leased,02648,Barnstable
M-022146,"$2,500",4/20/2021,BEV,Chevrolet Bolt EV,2020,2/8/2021,Purchased,01772,Worcester
M-022147,"$2,500",4/20/2021,BEV,Hyundai Kona Electric,2020,3/26/2021,Leased,02459,Middlesex
M-022148,"$1,500",4/21/2021,PHEV,Toyota Prius Prime,2021,4/15/2021,Purchased,01960,Essex
M-022149,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2021,4/17/2021,Purchased,01880,Middlesex
M-022150,"$1,500",4/21/2021,PHEV,Toyota Prius Prime,2021,4/19/2021,Purchased,01740,Worcester
M-022151,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2020,4/16/2021,Purchased,01720,Middlesex
M-022152,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2021,4/19/2021,Leased,02176,Middlesex
M-022153,"$2,500",4/21/2021,BEV,Volkswagen ID.4 Pro S,2021,4/20/2021,Purchased,02481,Norfolk
M-022154,"$1,500",4/21/2021,PHEV,Toyota Rav4 Prime,2021,3/30/2021,Purchased,02359,Plymouth
M-022155,"$2,500",4/21/2021,BEV,Tesla Model 3,2021,3/31/2021,Purchased,02556,Barnstable
M-022156,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2020,4/10/2021,Purchased,01907,Essex
M-022157,"$1,500",4/21/2021,PHEV,Toyota Prius Prime,2021,3/30/2021,Purchased,01742,Middlesex
M-022158,"$2,500",4/21/2021,BEV,Tesla Model 3,2021,3/18/2021,Leased,01950,Essex
M-022159,"$2,500",4/21/2021,BEV,Tesla Model Y,2021,1/27/2021,Purchased,01748,Middlesex
M-022160,"$2,500",4/21/2021,BEV,Hyundai Kona Electric,2021,4/20/2021,Leased,02152,Suffolk
M-022161,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2021,3/27/2021,Leased,02138,Middlesex
M-022162,"$2,500",4/21/2021,BEV,Chevrolet Bolt EV,2020,3/15/2021,Purchased,02130,Suffolk
M-022164,"$1,500",4/21/2021,PHEV,Toyota Prius Prime,2021,4/19/2021,Purchased,01915,Essex
M-022165,"$2,500",4/21/2021,BEV,Tesla Model 3,2021,3/27/2021,Purchased,01742,Middlesex
M-022166,"$1,500",4/21/2021,PHEV,Toyota Rav4 Prime,2021,4/18/2021,Purchased,02043,Plymouth
M-022167,"$2,500",4/21/2021,BEV,Tesla Model 3,2021,3/24/2021,Purchased,02043,Plymouth
M-022168,"$2,500",4/21/2021,BEV,Volkswagen ID.4 Pro,2021,4/13/2021,Leased,01945,Essex
M-022170,"$1,500",4/22/2021,PHEV,Toyota Rav4 Prime,2021,4/19/2021,Purchased,02777,Bristol
M-022171,"$2,500",4/22/2021,BEV,Hyundai Kona Electric,2020,4/21/2021,Leased,02703,Bristol
M-022172,"$2,500",4/22/2021,BEV,Tesla Model 3,2021,3/25/2021,Purchased,02482,Norfolk
M-022173,"$2,500",4/22/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/17/2021,Purchased,01060,Hampshire
M-022174,"$1,500",4/22/2021,PHEV,Toyota Prius Prime,2021,2/27/2021,Purchased,01453,Worcester
M-022175,"$2,500",4/22/2021,BEV,Nissan LEAF S Plus,2021,4/16/2021,Purchased,01523,Worcester
M-022177,"$1,500",4/22/2021,PHEV,Toyota Rav4 Prime,2021,4/14/2021,Purchased,01002,Hampshire
M-022178,"$2,500",4/22/2021,BEV,Tesla Model 3,2021,3/29/2021,Purchased,01702,Middlesex
M-022179,"$2,500",4/22/2021,BEV,Tesla Model 3,2021,12/29/2020,Purchased,02601,Barnstable
M-022180,"$2,500",4/22/2021,BEV,Volkswagen ID.4 1st Edition,2021,4/15/2021,Purchased,02130,Suffolk
M-022181,"$2,500",4/22/2021,BEV,Chevrolet Bolt EV,2020,4/9/2021,Purchased,01904,Essex
M-022182,"$1,500",4/22/2021,PHEV,Toyota Prius Prime,2021,4/16/2021,Purchased,01095,Hampden
M-022183,"$2,500",4/22/2021,BEV,Hyundai Kona Electric,2020,4/17/2021,Leased,02143,Middlesex
M-022184,"$1,500",4/22/2021,PHEV+,Honda Clarity PHEV,2021,4/22/2021,Purchased,01701,Middlesex
M-022185,"$2,500",4/22/2021,BEV,Tesla Model Y,2021,3/27/2021,Purchased,01748,Middlesex
M-022186,"$1,500",4/23/2021,PHEV,Hyundai Ioniq Plug-in Hybrid,2021,4/19/2021,Purchased,01880,Middlesex
M-022187,"$2,500",4/23/2021,BEV,Kia Niro EV,2020,4/20/2021,Leased,02482,Norfolk
M-022188,"$1,500",4/23/2021,PHEV,Toyota Prius Prime,2021,4/16/2021,Purchased,02474,Middlesex
M-022189,"$2,500",4/23/2021,BEV,Tesla Model Y,2021,3/30/2021,Purchased,01940,Essex
M-022190,"$2,500",4/23/2021,BEV,Tesla Model 3,2021,2/25/2021,Purchased,01721,Middlesex
M-022191,"$1,500",4/23/2021,PHEV,Toyota Rav4 Prime,2021,4/22/2021,Purchased,02093,Norfolk
M-022192,"$2,500",4/23/2021,BEV,Chevrolet Bolt EV,2021,4/10/2021,Purchased,01748,Middlesex
M-022193,"$1,500",4/23/2021,PHEV,Toyota Prius Prime,2021,4/10/2021,Purchased,02149,Middlesex
M-022194,"$2,500",4/23/2021,BEV,Ford Mustang Mach-E,2021,4/23/2021,Purchased,01810,Essex
M-022195,"$2,500",4/24/2021,BEV,Tesla Model 3,2021,3/25/2021,Purchased,01609,Worcester
M-022196,"$2,500",4/24/2021,BEV,Hyundai Kona Electric,2021,4/20/2021,Purchased,02445,Norfolk
M-022197,"$2,500",4/24/2021,BEV,Chevrolet Bolt EV,2021,4/20/2021,Purchased,02743,Bristol
M-022198,"$2,500",4/24/2021,BEV,Nissan LEAF S Plus,2020,4/17/2021,Purchased,02460,Middlesex
M-022199,"$1,500",4/25/2021,PHEV,Toyota Rav4 Prime,2021,4/15/2021,Purchased,02747,Bristol
M-022200,"$1,500",4/25/2021,PHEV,Toyota Rav4 Prime,2021,4/19/2021,Purchased,01821,Middlesex
M-022201,"$2,500",4/25/2021,BEV,Tesla Model 3,2021,4/24/2021,Purchased,01886,Middlesex
M-022202,"$2,500",4/25/2021,BEV,Chevrolet Bolt EV,2021,4/19/2021,Purchased,01560,Worcester
M-022203,"$1,500",4/25/2021,PHEV,Toyota Prius Prime,2021,2/13/2021,Purchased,02035,Norfolk
M-022204,"$2,500",4/25/2021,BEV,Chevrolet Bolt EV,2021,4/20/2021,Purchased,01436,Worcester
M-022205,"$1,500",4/25/2021,PHEV,Toyota Rav4 Prime,2021,4/8/2021,Purchased,02169,Norfolk
M-022206,"$1,500",4/25/2021,PHEV,Toyota Prius Prime,2021,3/5/2021,Purchased,02760,Bristol
M-022207,"$2,500",4/25/2021,BEV,Chevrolet Bolt EV,2021,4/20/2021,Leased,02494,Norfolk
M-022208,"$2,500",4/25/2021,BEV,Chevrolet Bolt EV,2021,4/22/2021,Leased,02144,Middlesex
M-022209,"$1,500",4/25/2021,PHEV,Toyota Rav4 Prime,2021,4/6/2021,Purchased,02421,Middlesex
