,attr_cnt_1mile,attr_cnt_5mile,distance_to_nearest_attr,crime_population,violent_crime,murder_nonnegligent_manslaughter,Rape1,Robbery,aggravated_assault,property_crime,Burglary,larceny_theft,motor_vehicle_theft,Arson,total_crime,num_EV_in_2_miles_of_gas,num_EV_in_5_miles_of_gas,num_EV_in_10_miles_of_gas,num_EV_in_20_miles_of_gas,num_EV_in_50_miles_of_gas,distance_to_closest_ev_station,nri_population,nri_risk_score,census_tract_area,census_tract_category,traff_cnt_10m_avg,traff_cnt_10m_max,traff_cnt_5m_avg,traff_cnt_5m_max,GEOID,ev_cnt,attr_cnt,traffic_cnt,traffic_max,traffic_avg,geometry,category
383,0.0,1.0,3.5063500000000003,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,2.0,32.0,348.0,500.0,500.0,0.66965,5385.0,35.87845021175106,0.0001847442325,2.0,48719.656652360514,240000.0,36021.31005845452,234000.0,53033026801.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.0001847442325,2
384,0.0,1.0,3.822,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,55.0,447.0,500.0,500.0,0.8559,3489.0,28.85704024055636,0.0002387977994999,2.0,48283.68,240000.0,37924.49275362319,234000.0,53033027000.0,0.0,0.0,1.0,43000.0,43000.0,0.0002387977994999,2
385,0.0,1.0,2.9395666666666664,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,10.0,89.66666666666667,407.0,500.0,500.0,0.06943333333333333,2558.0,34.222600564119816,0.0003961217375,2.0,45953.99333333334,240000.0,41473.85964912281,220000.0,53033027200.0,1.0,0.0,10.0,46000.0,26590.0,0.0003961217375,2
386,0.0,1.0,2.7182,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,14.0,81.0,224.0,500.0,500.0,0.0584,6327.0,35.75350910836267,0.000423006492,2.0,46730.122699386506,240000.0,39603.81818181818,220000.0,53033027300.0,1.0,0.0,0.0,57319.30333817126,30561.59010692707,0.000423006492,2
387,0.0,1.3333333333333333,4.578333333333333,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,5.0,64.33333333333333,330.3333333333333,500.0,500.0,0.7707333333333333,5421.0,32.76911234454968,0.0003965414844998999,2.0,48484.46373341863,240000.0,36556.32757311679,220000.0,53033027400.0,1.0,0.0,13.0,53000.0,21092.30769230769,0.0003965414844999,2
388,0.0,1.0,4.7183,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,62.0,350.0,500.0,500.0,0.9418,4718.0,36.26465794803404,0.0002662074939999,2.0,49090.84051724138,240000.0,35868.71921182266,220000.0,53033027500.0,0.0,1.0,0.0,57319.30333817126,30561.59010692707,0.0002662074939999,2
389,0.0,0.0,2.3004102587800372,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,5.0,54.0,337.0,500.0,500.0,0.7549,4648.0,34.72824805643344,0.0003386706583966,2.0,48143.00458715596,240000.0,34108.88324873096,220000.0,53033027600.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.0003386706583966,2
390,0.8333333333333334,1.0,0.7255833333333334,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,1.0,1.1666666666666667,68.66666666666667,500.0,500.0,1.0029166666666667,5679.0,41.09479107795109,0.005374005382583,1.0,32608.299189327594,220000.0,266.6666666666667,316.6666666666667,53033027701.0,1.0,6.0,0.0,29559.63855421687,14981.044173884458,0.005374005382583,1
391,0.0,1.0,1.9454,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,0.0,1.0,88.0,500.0,500.0,3.4682,4945.0,44.62680308820326,0.0063042840589186,1.0,33100.87431693989,220000.0,9833.333333333334,11000.0,53033027702.0,0.0,0.0,0.0,29559.63855421687,14981.044173884458,0.0063042840589186,1
392,0.0,1.0,4.60645,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,5.5,56.75,194.5,500.0,500.0,0.2245,4279.773504273504,27.48601048021865,0.0001777876474999,2.0,46793.04690318966,240000.0,36132.17212455535,220000.0,53033027902.0,2.0,5.0,0.0,57319.30333817126,30561.59010692707,0.0001777876474999,2
393,0.0,1.0,4.37635,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,7.5,53.0,163.5,500.0,500.0,0.2135,3366.0,33.022344511483155,0.0002327069005,2.0,45802.80301618364,240000.0,36470.371741706156,220000.0,53033028000.0,0.0,0.0,18.0,65000.0,20861.11111111111,0.0002327069005,2
394,0.0,1.0,2.548833333333333,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,14.666666666666666,81.66666666666667,192.33333333333334,500.0,500.0,0.4506666666666666,4718.0,31.930731113160167,0.00031704419,2.0,47258.97278092088,240000.0,40095.56905742034,220000.0,53033028200.0,0.0,0.0,15.0,117000.0,42753.333333333336,0.00031704419,2
395,0.0,5.0,2.03115,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,23.0,76.5,139.0,500.0,500.0,0.14715,4580.0,33.48757681049177,0.0009908973704999,2.0,42295.04655462185,230000.0,42014.34970826275,220000.0,53033028300.0,0.0,0.0,11.0,217000.0,98463.63636363635,0.0009908973704999,2
396,0.0,1.6666666666666667,2.5145666666666666,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,24.0,74.33333333333333,144.66666666666666,500.0,500.0,0.2459,5097.0,34.65718977959433,0.0010179818909999,2.0,45900.70362860351,240000.0,39624.577467820396,220000.0,53033028402.0,6.0,0.0,13.0,50000.0,20292.30769230769,0.0010179818909999,2
397,0.0,2.0,4.212,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,12.333333333333334,52.333333333333336,127.0,500.0,500.0,0.3443666666666667,3847.0,31.36126636531442,0.000418143492,2.0,43882.57086770036,240000.0,38476.208926843705,220000.0,53033028500.0,2.0,0.0,13.0,25000.0,8946.153846153846,0.000418143492,2
398,0.0,2.8,2.4714,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,16.2,64.6,133.2,500.0,500.0,0.32864,3095.0,32.84711670356711,0.0006229830069999,2.0,39072.384,222800.0,41506.51218972138,219400.0,53033028801.0,7.0,0.0,3.0,24000.0,21000.0,0.0006229830069999,2
399,0.0,3.6666666666666665,2.3901,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,24.333333333333332,73.66666666666667,133.33333333333334,500.0,500.0,0.13193333333333335,6128.0,33.023803994510565,0.0003365489679999,2.0,39544.566666666666,224666.66666666666,42869.51226927623,220000.0,53033028802.0,5.0,0.0,4.0,9800.0,6475.0,0.0003365489679999,2
400,0.0,2.0,2.8284,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,8.0,44.0,130.0,500.0,500.0,1.2763,3368.0,34.51332965580728,0.0002967020464496,2.0,38445.62,220000.0,38198.83040935673,217000.0,53033028901.0,0.0,1.0,1.0,15000.0,15000.0,0.0002967020464496,2
401,0.0,5.0,1.3427,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,9.0,50.0,125.0,500.0,500.0,0.4286,6495.0,34.847308358703046,0.0002462986925,2.0,38601.36,220000.0,41567.25146198831,217000.0,53033028902.0,1.0,0.0,7.0,35000.0,21285.714285714286,0.0002462986925,2
402,0.0,3.5,1.7563499999999999,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,3.5,34.5,122.0,500.0,500.0,0.56625,5466.0,30.77261926605456,0.0003053473879999,2.0,38681.3,220000.0,43942.4219228414,212000.0,53033029003.0,1.0,0.0,1.0,10000.0,10000.0,0.0003053473879999,2
403,0.0,3.5,1.6104500000000002,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,36.5,120.5,500.0,500.0,0.7029000000000001,3751.0,34.3687877138531,0.000216406914,2.0,38945.6,220000.0,43409.46428571429,217000.0,53033029004.0,0.0,1.0,3.0,33000.0,23233.33333333333,0.000216406914,2
404,0.0,7.0,1.5443500000000001,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,7.0,53.5,117.5,500.0,500.0,0.2223,3537.0,35.364918197260195,0.0002403565145,2.0,39449.54,220000.0,49931.14004629629,217000.0,53033029203.0,2.0,1.0,3.0,28000.0,17133.333333333332,0.0002403565145,2
405,1.0,7.0,0.7444,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,53.5,121.0,500.0,500.0,0.26095,4602.0,36.926746312370135,0.000227482995,2.0,39661.44,220000.0,46963.66885050625,217000.0,53033029205.0,1.0,2.0,0.0,57319.30333817126,30561.59010692707,0.000227482995,2
406,0.25,6.9375,1.4001124999999999,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,12.125,74.125,129.8125,500.0,500.0,0.72780625,3853.0,60.09361953745172,0.0020844432289999,2.0,39233.055,222625.0,47121.352758079294,219062.5,53033029206.0,2.0,6.0,12.0,118000.0,42800.0,0.0020844432289999,2
407,0.0,7.0,1.7966,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,7.5,60.0,120.0,500.0,500.0,0.6299,4279.773504273504,27.48601048021865,0.0002372037359999,2.0,39264.04,220000.0,49469.18615797546,217000.0,53033029208.0,0.0,0.0,3.0,124000.0,86333.33333333333,0.0002372037359999,2
408,3.0,7.0,0.1685,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,74.0,124.0,500.0,500.0,0.098,3914.0,31.90988700610029,0.000343946798,2.0,38400.46,220000.0,47600.58139534884,217000.0,53033029305.0,0.0,0.0,1.0,123000.0,123000.0,0.000343946798,2
409,2.0,7.0,0.7089,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,16.0,80.0,133.0,500.0,500.0,1.0757,4279.773504273504,27.48601048021865,0.0001606568864999,2.0,38551.88,220000.0,51385.4748603352,220000.0,53033029308.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.0001606568864999,2
410,0.0,6.0,1.5124666666666666,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,16.333333333333332,81.0,147.66666666666666,500.0,500.0,0.6686666666666667,4279.773504273504,27.48601048021865,0.0002699933849999,2.0,41033.86666666667,220000.0,51152.95676144279,220000.0,53033029309.0,0.0,0.0,4.0,123000.0,71250.0,0.0002699933849999,2
411,0.0,6.0,2.1581,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,3.0,31.0,118.0,500.0,500.0,1.448,5004.0,29.290286305693087,0.0003237132015,2.0,38728.78,220000.0,37660.86956521739,128000.0,53033029406.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.0003237132015,2
412,0.0,7.0,1.2159,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,6.0,42.0,120.0,500.0,500.0,0.5275,4885.0,34.721333477728706,0.000158521623,2.0,38794.54,220000.0,47128.24427480916,217000.0,53033029407.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.000158521623,2
413,1.0,6.5,0.7248,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,6.0,33.5,119.5,500.0,500.0,0.4935,5292.0,34.37652975399559,0.000224398816,2.0,38554.54,220000.0,44584.018604651166,211000.0,53033029504.0,3.0,0.0,0.0,57319.30333817126,30561.59010692707,0.000224398816,2
414,0.0,7.0,1.17025,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,5.5,42.0,120.0,500.0,500.0,0.51695,4279.773504273504,27.48601048021865,0.0001665661799999,2.0,38668.08,220000.0,47029.2736525561,217000.0,53033029505.0,0.0,0.0,1.0,24000.0,24000.0,0.0001665661799999,2
415,2.0,6.0,0.1748,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,6.0,27.0,120.0,500.0,500.0,0.6672,4279.773504273504,27.48601048021865,0.000111660003,2.0,38302.94,220000.0,42380.59701492537,205000.0,53033029506.0,0.0,2.0,4.0,36000.0,30750.0,0.000111660003,2
416,0.0,6.0,1.9508,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,1.0,18.0,113.0,500.0,500.0,0.2084,4279.773504273504,27.48601048021865,0.000207772309,2.0,38954.42013129103,220000.0,34692.566371681416,129000.0,53033029507.0,0.0,0.0,2.0,35000.0,33500.0,0.000207772309,2
417,0.0,7.0,1.4306,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,3.0,31.0,119.0,500.0,500.0,0.5852,4279.773504273504,27.48601048021865,0.0003093008609999,2.0,38397.14,220000.0,39828.43137254902,196000.0,53033029508.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.0003093008609999,2
418,2.0,6.0,0.8601,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,4.0,18.0,116.0,500.0,500.0,1.0588,4279.773504273504,27.48601048021865,0.000184128355,2.0,38356.10101010101,220000.0,37119.83193277311,196000.0,53033029603.0,0.0,0.0,0.0,57319.30333817126,30561.59010692707,0.000184128355,2
